source;schemaType;group;sparql_server;editable;imports;topClassFilter;taxonomyPredicates;
SKOS;SKOS;;{"url":"_default"};;;;;
Total-CTG;SKOS;;{"url":"_default","xx":3};;;;;
IEC;SKOS;;{"url":"_default"};;;;;
ENERGISTICS-dirty;SKOS;;{"url":"_default"};;;;;
Oil-Gas-Upstream;SKOS;;{"url":"_default"};;;;;
Gaia;SKOS;;{"url":"_default"};;;;;
GEMET;SKOS;;{"url":"_default"};;;;;
BNF;NONE;;{"url":"https://data.bnf.fr/sparql"};;;;;
Dbpedia;NONE;;{"url":"http://dbpedia.org/sparql","method":"GET"};;;;;
WIKIDATA;SKOS;;{"url":"_default"};;;;;
USGS;SKOS;;{"url":"_default"};;;;;
GEOSCMIL;SKOS;;{"url":"_default"};;;;;
TermSciences;SKOS;;{"url":"_default"};;;;;
ThesaurusIngenieur;SKOS;;{"url":"_default"};;;;;
Unesco;SKOS;;{"url":"_default"};;;;;
LibraryOfCongress;SKOS;;{"url":"_default"};;;;;
LOTERRE;SKOS;;{"url":"https://sparql.loterre.fr/LoterreVocabularies/sparql","method":"GET"};;;;;
WORDNET;NONE;;{"url":"http://wordnet.rkbexplorer.com/sparql/"};;;;;
BFO;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://purl.obolibrary.org/obo/BFO_0000001>;;
DOLCE;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};;;?topConcept ?p ?o filter (?topConcept= <http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Entity>);;
GUFO;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};;;?topConcept rdfs:subClassOf ?superClass filter( not exists {?superClass  rdfs:type <http://www.w3.org/2002/07/owl#Class>});;
SUMO;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};;;?topConcept rdfs:subClassOf ?superClass filter( not exists {?superClass  rdfs:type <http://www.w3.org/2002/07/owl#Class>});;
SEMANTIC-SCIENCE;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://semanticscience.org/resource/SIO_000000>;;
DATA_KNOWLEDGE;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};;;?topConcept rdfs:subClassOf ?superClass filter( not exists {?superClass  rdfs:type <http://www.w3.org/2002/07/owl#Class>});;
ISO_15926-part-14;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://www.w3.org/2002/07/owl#Thing>;;
TSF_TOP_ONTOLOGY;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};true;["BFO","ISO_15926-part-14"];?topConcept rdfs:subClassOf  ?x filter(?x in (<http://purl.obolibrary.org/obo/BFO_0000001>, <http://www.w3.org/2002/07/owl#Thing>));;
TSF_81346_14224-READI;OWL;STANDARDS/FACILITIES;{"url":"_default"};true;["ISO_15926-part-14"];?topConcept rdf:type <http://data.total.com/resource/tsf/IEC_ISO_81346/topClass>;;
ISO_15926-part-14_PCA;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};;; ?topConcept rdf:type <http://www.w3.org/2002/07/owl#Class>  filter (NOT exists {?topConcept rdfs:subClassOf ?y} &&  (!isBlank(?topConcept))  );;
ISO_15926-part-13;OWL;STANDARDS/FACILITIES;{"url":"_default"};;["ISO_15926-part-14"];?x rdfs:subClassOf ?topConcept . filter (NOT exists {?obj rdfs:subClassOf ?x});;
ISO-15663;OWL;STANDARDS/LIFE CYCLE;{"url":"_default"};;;?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;;
ILAP;OWL;STANDARDS/LIFE CYCLE;{"url":"http://staging.data.posccaesar.org/ilap","method":"GET"};;; ?topConcept rdf:type <http://www.w3.org/2002/07/owl#Class>  filter (NOT exists {?topConcept rdfs:subClassOf ?y} &&  (!isBlank(?topConcept))  );;
CFIHOS_READI;OWL;STANDARDS/FACILITIES;{"url":"_default"};;; ?topConcept rdfs:subClassOf <http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/Object>;;
CFIHOS_1_5_PLUS;OWL;STANDARDS/FACILITIES;{"url":"_default"};true;;?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;;
QUANTUM;NONE;STANDARDS/FACILITIES;{"url":"_default"};;["ISO_15926-part-14"];?topConcept rdfs:subClassOf <http://www.w3.org/2002/07/owl#Thing>;;
ISO_14224;OWL;STANDARDS/MAINTENANCE;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://www.w3.org/2002/07/owl#Thing>;;
IOGP_ISO_14224_merged;OWL;STANDARDS/MAINTENANCE;{"url":"_default"};;["ISO_14224"];?topConcept rdfs:subClassOf <http://www.w3.org/2002/07/owl#Thing>;;
IOGP_ISO_14224;OWL;STANDARDS/MAINTENANCE;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://www.w3.org/2002/07/owl#Thing>;;
NPD;OWL;STANDARDS/2G&R;{"url":"_default"};;;?topConcept   rdfs:subClassOf ?class. filter (?class in(<http://www.ifomis.org/bfo/1.1#Entity>));;
ENERGISTIC_COMMON;OWL;STANDARDS/2G&R;{"url":"_default"};;["ISO_15926-part-14_PCA"];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;["http://www.w3.org/2000/01/rdf-schema#subClassOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/partOf"];
ENERGISTIC_WISTML;OWL;STANDARDS/2G&R;{"url":"_default"};;["ENERGISTIC_COMMON","ISO_15926-part-14_PCA"];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;["http://www.w3.org/2000/01/rdf-schema#subClassOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/partOf"];
ENERGISTIC_RESQML;OWL;STANDARDS/2G&R;{"url":"_default"};;["ENERGISTIC_COMMON","ISO_15926-part-14_PCA"];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;["http://www.w3.org/2000/01/rdf-schema#subClassOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/partOf"];
ENERGISTIC_PRODML;OWL;STANDARDS/2G&R;{"url":"_default"};;["ENERGISTIC_COMMON","ISO_15926-part-14_PCA"];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;["http://www.w3.org/2000/01/rdf-schema#subClassOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/partOf"];
CIDOC;NONE;;{"url":"_default"};;;  ?topConcept rdfs:subClassOf <http://data.15926.org/dm/Thing>;;
ISO_15926-PCA;OWLxxx;STANDARDS/FACILITIES;{"urlX":"http://staging.data.posccaesar.org/rdl/","url":"http://staging2.data.posccaesar.org/rdl/fuseki/dataset/sparql","method":"POST","type":"fuseki"};;;?topConcept rdfs:subClassOf <http://data.posccaesar.org/dm/Thing>;;
ISO_15926-PCA-2;OWL;STANDARDS/FACILITIES;{"url":"http://192.236.179.169/sparql","method":"GET"};;;?topConcept rdfs:subClassOf <http://data.15926.org/dm/Thing>;;
CFIHOS-ISO;OWLxxx;STANDARDS/FACILITIES;{"url":"http://192.236.179.169/sparql","method":"GET"};;;  ?topConcept rdfs:subClassOf <http://data.15926.org/dm/Thing>;;
CFIHOS_equipment;OWL;STANDARDS/FACILITIES;{"url":"_default"};;; ?topConcept rdfs:subClassOf <http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/InanimatePhysicalObject>;;
ISO_15926-org;OWL-xxxx;STANDARDS/FACILITIES;{"url":"http://192.236.179.169/sparql","method":"GET"};;;?topConcept rdfs:subClassOf <http://data.15926.org/dm/Thing>;;
ISO_15926-part-4;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://standards.iso.org/iso/15926/part14#class>;;
ISO_15926-11;OWL;STANDARDS/LIFE CYCLE;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://www.w3.org/2002/07/owl#Thing>;;
ISO_15926-part-12;OWL;STANDARDS/LIFE CYCLE;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://www.w3.org/2002/07/owl#Thing>;;
DEXPI;OWL;STANDARDS/LIFE CYCLE;{"url":"_default","urlNew":"https://endpoint.dexpi.org/information_model","no_params":true};;;?topConcept rdfs:subClassOf <http://sandbox.dexpi.org/informationmodel/TechnicalItem>;;
FMEA;OWL;STANDARDS/MAINTENANCE;{"url":"_default"};;;?topConcept rdfs:subClassOf<http://www.w3.org/2002/07/owl#Thing>;;
ONE-MODEL;OWL;TSF/BUSINESS OBJECTS;{"url":"_default"};;["ISO_15926-part-14"];?topConcept rdfs:subClassOf <http://www.w3.org/2002/07/owl#Thing>;;
OSDU;OWL;STANDARDS/2G&R;{"url":"_default"};;; ?topConcept rdf:type <http://www.w3.org/2002/07/owl#Class>. ?topConcept rdfs:label ?topConceptLabel. filter(regex(?topConceptLabel,'Abstract'));;
PPDM;OWL;STANDARDS/2G&R;{"url":"_default"};;; ?topConcept rdf:type <http://www.w3.org/2002/07/owl#Class>  filter (NOT exists {?topConcept rdfs:subClassOf ?y} &&  (!isBlank(?topConcept))  );;
PDEF;OWL;STANDARDS/2G&R;{"url":"_default"};;; ?topConcept rdf:type <http://www.w3.org/2002/07/owl#Class>  filter (NOT exists {?topConcept rdfs:subClassOf ?y} &&  (!isBlank(?topConcept))  );;
NPDMS;OWL;STANDARDS/2G&R;{"url":"_default"};;; ?topConcept rdf:type <http://www.w3.org/2002/07/owl#Class>  filter (NOT exists {?topConcept rdfs:subClassOf ?y} &&  (!isBlank(?topConcept))  );;
ISO19008_PBS;OWL;STANDARDS/COSTS CODING;{"url":"_default"};;; ?topConcept  ?p ?o.  filter(not exists{?topConcept rdfs:subClassOf ?z});;
ISO19008_SAB;OWL;STANDARDS/COSTS CODING;{"url":"_default"};;; ?topConcept  ?p ?o.  filter(not exists{?topConcept rdfs:subClassOf ?z});;
ISO19008_COR;OWL;STANDARDS/COSTS CODING;{"url":"_default"};;;  ?topConcept  ?p ?o.  filter(not exists{?topConcept rdfs:subClassOf ?z});;
IOF_core;OWL;STANDARDS/ABSTRACT ONTOLOGIES;{"url":"_default"};;; ?topConcept rdfs:subClassOf ?superClass. filter(regex(str(?superClass),'BFO') );;
IOF_maintenance;OWL;STANDARDS/MAINTENANCE;{"url":"_default"};;["IOF_core"]; ?topConcept rdfs:subClassOf ?superClass. filter(regex(str(?superClass),'BFO') );;
TSF_ISO_14224;OWLXXXXXX;STANDARDS/MAINTENANCE;{"url":"_default"};true;["TSF_ISO_14224_REQUIREMENTS"]; ?topConcept rdfs:subClassOf  ?superClass filter (?superClass in (<http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/System>,<http://w3id.org/readi/rdl/D101001053>,<http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/FunctionalObject>));;
TSF_GS_EP-EXP_207_11;OWL;STANDARDS/MAINTENANCE;{"url":"_default"};true;["TSF_ISO_14224"]; ?topConcept rdfs:subClassOf  ?superClass filter (?superClass in (<http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/System>,<http://w3id.org/readi/rdl/D101001053>,<http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/FunctionalObject>));;
ROMAIN;OWL;STANDARDS/MAINTENANCE;{"url":"_default"};;[{"graphUri":"http://www.ontologylibrary.mil/CommonCore/Mid/GeospatialOntology","sparql_server":{"url":"_default"}},{"graphUri":"http://purl.obolibrary.org/obo/iao/2017-03-24/iao.owl","sparql_server":{"url":"_default"}},{"graphUri":"http://www.ontologylibrary.mil/CommonCore/Upper/ExtendedRelationOntology","sparql_server":{"url":"_default"}},{"graphUri":"http://purl.obolibrary.org/obo/bfo.owl","sparql_server":{"url":"_default"}},{"graphUri":"http://www.obofoundry.org/ro/ro.owl","sparql_server":{"url":"_default"}},{"graphUri":"http://www.ontologylibrary.mil/CommonCore/Mid/UnitsOfMeasureOntology","sparql_server":{"url":"_default"}},{"graphUri":"http://www.ontologylibrary.mil/CommonCore/Mid/TimeOntology","sparql_server":{"url":"_default"}},{"graphUri":"http://www.ontologylibrary.mil/CommonCore/Mid/ArtifactOntology","sparql_server":{"url":"_default"}}];?topConcept rdfs:subClassOf ?r. ?r rdf:type owl:Restriction;;
TSF_ISO_14224_REQUIREMENTS;OWLXX;STANDARDS/MAINTENANCE;{"url":"_default"};true;[]; ?topConcept rdfs:subClassOf  ?superClass filter (?superClass in (<http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/System>,<http://w3id.org/readi/rdl/D101001053>,<http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/FunctionalObject>));;
TSF_maintenance_19008;OWL;TSF/BUSINESS OBJECTS;{"url":"_default"};true;["BFO","ISO_15926-part-14","IOF_core","IOF_maintenance","ISO19008_COR","ISO19008_SAB","ISO19008_PBS"];null;;
ILAP_19008;OWLXXX;STANDARDS/LIFE CYCLE;{"url":"http://staging.data.posccaesar.org/ilap","method":"GET"};;["ILAP_19008_sameAs","ISO19008_COR","ISO19008_SAB","ISO19008_PBS"]; ?topConcept rdf:type <http://www.w3.org/2002/07/owl#Class>  filter (NOT exists {?topConcept rdfs:subClassOf ?y} &&  (!isBlank(?topConcept))  );["http://www.w3.org/2000/01/rdf-schema#subClassOf","http://www.w3.org/2002/07/owl#sameAs"];
TSF_workorder;OWL;TSF/BUSINESS OBJECTS;{"url":"_default"};true;["WORKORDER_SAPPM","WORKORDER_MYROUTE","WORKORDER_MAINTENANCE_INSPECTION","WORKORDER_LOGISTICS_SUPPORT","ISO_15926-part-14"];_default;;
TSF_ISO-14224;OWL;STANDARDS/MAINTENANCE;{"url":"_default"};true;["BFO","ISO_15926-part-14"];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;["http://www.w3.org/2000/01/rdf-schema#subClassOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/partOf"];
TSF_maintenance_ROMAIN_14224;OWL;STANDARDS/MAINTENANCE;{"url":"_default"};true;["BFO","ISO_15926-part-14","ROMAIN","CFIHOS_READI"];?topConcept rdf:type <http://http://data.total.com/resource/tsf/maintenance/romain_14224/topClass>;["http://www.w3.org/2000/01/rdf-schema#subClassOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/partOf"];
TSF-ISO-IEC-81346;OWL;ABSTRACT ONTOLOGIES;{"url":"_default"};true;["ISO_15926-part-14"];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;["http://www.w3.org/2000/01/rdf-schema#subClassOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/partOf","http://www.w3.org/2004/02/skos/core#member"];
TSF-RDS-OG-81346;OWL;ABSTRACT ONTOLOGIES;{"url":"_default"};true;["ISO_15926-part-14"];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;["http://www.w3.org/2000/01/rdf-schema#subClassOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/partOf","http://www.w3.org/2004/02/skos/core#member"];
QUDT;OWL;OTHERS_OWL;{"url":"http://www.qudt.org/fuseki/qudt/sparql","method":"GET"};;[];?topConcept <http://www.w3.org/2000/01/rdf-schema#subClassOf> <http://qudt.org/schema/qudt/Datatype>;;
TSF-DICTIONARY;OWL;DICTIONARIES;{"url":"_default"};true;[];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;;
TSF_ASSET_14224_MAPPINGS;OWL;STANDARDS/MAINTENANCE;{"url":"_default"};;[];_default;;
WORKORDER_SAPPM;OWL;TSF/DATA-MODELS;{"url":"_default"};;[];_default;;
WORKORDER_LOGISTICS_SUPPORT;OWL;TSF/DATA-MODELS;{"url":"_default"};;[];_default;;
WORKORDER_MAINTENANCE_INSPECTION;OWL;TSF/DATA-MODELS;{"url":"_default"};;[];_default;;
WORKORDER_MYROUTE;OWL;TSF/DATA-MODELS;{"url":"_default"};;[];_default;;
plant_ontology;OWL;OTHERS_OWL;{"url":"_default"};;[]; ?topConcept rdfs:subClassOf ?superClass. filter(regex(str(?superClass),'BFO') );;
RDL-QUANTUM-MIN;NONE;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
ASSETS-turbogenerator;NONE;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
ASSETS-CLOV;NONE;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
ASSETS-SIL;NONE;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
ASSETS-UFR;NONE;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
MDM_2.3_AFTWIN;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
MIE;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
VALVES;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
CLOV;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
MDM_2.3_AFTWIN_Old;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
EF_SAP;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
DATA-DOMAINS;NONE;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
ASSETS-QUANTUM-REQ;NONE;;{"url":"_default"};;;;;
ASSETS-QUANTUM-RDL;NONE;;{"url":"_default"};;;;;
ECCENCA-VALVES;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;;;
ECCENCA-VALVES-2;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;;;
ECCENCA-VALVES-2REMOTE;NONE;;{"urlXX":"_default","url":"https://totquantum.eccenca.dev/dataplatform/proxy/default/sparql?query=","method":"GET","headers":{"bearer":"eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICI5UmhXQ01QbjZnaXBNRHBzWkVxcm5SVk9wNjhfVTN6SzZmYzVrQlFRV0lZIn0"}};;;;;
NPD-DATA;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;; ?topConcept   rdfs:subClassOf ?class. filter (?class in(<http://www.ifomis.org/bfo/1.1/snap#Continuant> ,<http://www.ifomis.org/bfo/1.1/snap#IndependentContinuant>,<thttp://www.ifomis.org/bfo/1.1/snap#IndependentContinuant>));;
DataDomains;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;;;
CFIHOS_READI-REMOTE;OWL;STANDARDS/FACILITIES;{"url":"https://demo-irm-dnvgl.northeurope.cloudapp.azure.com/readidemo/sparql/readi-Z018","method":"GET","headers":{"Authorization":"Basic cmVhZGlkZW1vOm1pa3NvbHlkaXNr","Connection":"keep-alive"}};;;?x rdfs:subClassOf ?topConcept filter(regex(str(?topConcept),'iso','i')) filter(not exists{?topConcept rdfs:subClassOf ?z});;
