Name	Origin	Definition	Business_Domain	Data_Domain
OpenFlowSuite [OPENFLOWSUITE]	HQ	TemisFlow is an OpenFlowSuite integrated tool for the dynamic simulation of the sedimentary basin's evolution and its associated petroleum system over geological time. It makes it possible to understand and model the processes of generation, migration, trapping and accumulation of oil and gas.	Geology	2G STUDIES
COP TOOLBOX [COP TOOLBOX]	HQ	This business service is a toolbox that enables quick &amp; guided geological analysis (quality control &amp; interpretation) of well data (logs, mud gas, formation pressure). COP TOOLBOX is composed of five modules named: Coral - Pearl - Amber - Pirit &ndash; Opal	Geology	2G STUDIES
Strategic Fit Files [EXPLO-SFF]	HQ	POTEX calculation with simulation of prospect including economical and financial data (replacing ERGO)	Geology	2G STUDIES
ERGO	HQ	ERGO application :  Clastics database. The ERGO database provides access to the geometric analogue data, as well as tools to interrogate and investigate the dataset.	Geology	2G STUDIES
Adopterre	HQ	Adopterre application: Outcrop samples, sites and acquisition campaign.	Geology	2G STUDIES
Biotrax [BIOTRAX]	HQ	Biotrax application: All bio stratigraphic data acquired or internal.	Geology	2G STUDIES
MyValves [MYVALVES]	HQ		Maintenance & Inspection	FACILITY OPERATIONS
MyPairing [MYPAIRING]	HQ		Maintenance & Inspection	FACILITY OPERATIONS
MyHandover [HANDOVER]	HQ		Maintenance & Inspection	FACILITY OPERATIONS
MIE-Tool [MIE Tool]	HQ	MAINTENANCE &amp; INSPECTION ENGINEERING TOOL FOR MAINTENANCE AND INSPECTION METHODS TEAMS &amp; ENGINEERING TEAM. IT AIMS TO STANDARDISE, AUTOMATE AND OPTIMISE THE MIE PROCESSES BASES ON SAP REFERENTIAL, USING GS EP EXP 221	Maintenance & Inspection	FACILITY OPERATIONS
MyRoute [MYROUTE]	HQ	"Inspection &amp; SECE rounds

#MyRoute will collect Measurement Points from SECE or Inspection Work Orders with routes that require measuring points fill-in in SAP for E&amp;P sites, mainly by Maintenance and Inspection"	Maintenance & Inspection	FACILITY OPERATIONS
Rotating Equipment Management (REMA) [REMA]	HQ	REMA allows managing rotating equipments : Centrifugal Compressors, Centrifugal Pumps, Diesel and Gas Engines, Gas Turbines, Gearbox, Reciprocating Compressors, Synchronous Generators, Screw Compressors, Turbo Expanders, Electrical Motors, and some Other Equipments.	Maintenance & Inspection	FACILITY OPERATIONS
RAID SmartSignal [SMARTSIGNAL]	HQ	"Support and maintain Remote Assistance, Intervention and Diagnosis for Rotating Equipment (RAID) to enhance production efficiency.

SmartSignal is based on the analysis of the deviation between a monitored site value and a predicted software value. This predicted value is determined, through an equivalent model of the unit, based on historical data during normal operation. An excessive level of deviation, between the site and predicted value, enhances a warning detection anticipating a possible catastrophic outcome.

The parameters monitored with SmartSignal are taken from PI, so the project includes assistance for data collection of all required sensors from rotating machinery packages. It also provides real-time calculation of performance indicators of equipments with PI-Asset Framework which are also monitored with Smart Signal.

Consequently, this RAID Center aims at: reducing unplanned production losses, reducing maintenance costs due to breakdowns, increasing unit availability and, of course, improving operation safely."	Maintenance & Inspection	FACILITY OPERATIONS
MyShift [MYSHIFT]	HQ	MyShift: Dematerialization of field operation rounds	Maintenance & Inspection	FACILITY OPERATIONS
SAP Plant Maintenance (SAP PM) [SAP_PM - Plant Maintenance]	HQ	"Plant Maintenance module is the main tool to:
- Manage all inspection &amp; maintenance activities
- Plan and schedule activities to prevent / correct failures"	Maintenance & Inspection	FACILITY OPERATIONS
EntER (Equipment Event Reporting) [ENTER]	HQ	Web application to permit stop monitoring which involved on equipment	Maintenance & Inspection	FACILITY OPERATIONS
Risk Based Inspection - Jacket (RBI-J) [RBI-J]	HQ	Methodology assessing the risk of a global collapse of the jacket: multi-legs offshore platforms, subsequent in-service inspection only (first in-service remains under the prescriptive approach) to determine the interval of intermediate and major underwater inspections (tasks defined in GS EP EXP 311)	Maintenance & Inspection	FACILITY OPERATIONS
Risk Based Inspection - Pipeline (ex. RBI-P) [One RBI]	HQ	One RBI is a Total software, used as RBI tool for Total E&amp;P pipelines	Maintenance & Inspection	FACILITY OPERATIONS
Smart Maintenance Instruction	Angola	Automating creation and updating of Maintenance Work Instructions	Maintenance & Inspection	FACILITY OPERATIONS
Plan Long Term [S-PLT_FIN]	HQ	"The Long-Term Plan (LTP in english, PLT in french) is an internal process, during which the company&rsquo;s Local Business Units (LBUs: Affiliates, Subsidiaries and Assets) prepare their long term industrial, environmental and financial forecasts.
The Long Term Plan consolidates the forecast for the next years of the main results of the subsidiaries and of the Branch: investments, reserves, production, financial results, HR... It clarifies the guidance, allows strategic coherence checks and assesses the operating and financial performance of the different scenarios. The LTP is also an opportunity to consolidate the objectives of HSE, and to identify the main risks, exposures and possible disruptions.
SCR defines the LTP framework. DIGs prepare the affiliates LTP dossiers in coordination with the affiliate&rsquo;s directors. The global LTP is consolidated by SCR.
The LTP annual exercise is coordinated by the Senior Vice-President Strategy, Business and Research &amp; Development."	Business & Economics	FINANCE & CONTROL
DoDeep [DODEEP]	HQ	"DODEEP comes as a web-based user interface communicating with a PostgreSQL database where all data needed by Development studies are stored. While doing their Development study, Petroleum Architects fill the database with new data and can use it to benchmark their choices.
Development studies are carried out by Petroleum Architects to feed business decisions. Those studies consist in consolidating data coming from multiple disciplines (geosciences, drilling, conception, field operation specialists, &hellip;) into a final document &ndash; the COST SCHEDULE &ndash; which details the anticipated project production schedule and the associated expenditure schedule to achieve this production. The COST SCHEDULE is then transferred to TOTAL economists who estimate the profitability of the project."	Business & Economics	FINANCE & CONTROL
ANAPEST [ANAPEST]	HQ	As part of the new petroleum asset projects, a detailed estimate of the operating costs is made by Total EP's operating business. in concrete terms, a provisional schedule is created for the entire lifetime of the asset. the estimations are created by anapest.	Business & Economics	FINANCE & CONTROL
OPEX	HQ	The Opex application is a set of asset keys that can be used to list various sources, called OPEX ASSETKEY, in order to obtain an in-depth analysis based of operations expenditures	Business & Economics	FINANCE & CONTROL
UCOST V2 [UCOST V2]	HQ		Business & Economics	FINANCE & CONTROL
Shiny [SHINY]	HQ	Project to realize economic intelligence on external publications for several DSO product lines	Business & Economics	FINANCE & CONTROL
Wood Mackenzie Database [WOOD MACKENZIE]	HQ	Wood Mackenzie: External Database containing lease and Field data from many companies and countries.	Business & Economics	FINANCE & CONTROL
ALM (Exploration) [EXPLO-ALM]	HQ	Asset Life cycle Management	Business & Economics	FINANCE & CONTROL
Oregan [S-Oregan]	HQ	Oregan is an application project aiming to simulate economical scenarios of exploration projects	Business & Economics	FINANCE & CONTROL
