BO	Class
Well Generalities	InformationObject
Wellbore	FunctionalObject
Well Trajectory	RealizableEntity
Well Architecture	Discipline
Fluids & Cement	Discipline
Formation / Reservoir 	FunctionalObject
Drilling Equipment	FunctionalObject
Drilling Tools	FunctionalObject
Drilling Operations	Discipline
Reservoir Wellbore Interface	Discipline
Well Integrity 	Discipline
Safety	Discipline
Operational Reports	InformationObject
Rig & WI Unit	FunctionalObject
Laboratory	Discipline
Study 	InformationObject
Logs	InformationObject
Costs	RealizableEntity
Planning	Activity
Logistic	Discipline
Referential Document	InformationObject
Geographical Data	Location
TUWI	Nomenclature
Spud Date	Date
Abandonment Date	Date
Well Status	List
Operated	Boolean
Well Name	Nomenclature
Field	Location
Block	Location
Objective	Target
Profile	Log
Platform	Location
Name	Nomenclature
StartDepth	Date
EndDepth	Date
TUWBI	Nomenclature
ParentWellbore	FunctionalObject
Wellbore Status	List
Planned	LifeCycleStage
Actual 	LifeCycleStage
Final	LifeCycleStage
Casing	FunctionalObject
Completion	Activity
Wellhead	FunctionalObject
Christmas Tree	FunctionalObject
Cement plugs	FunctionalObject
Cement 	FunctionalObject
Fluids	Compound
Cement	Compound
Brine	Compound
Lithology	Compound
Top Depth	PhysicalQuantity
Bottom Depth	PhysicalQuantity
Produced Fluid	Compound
Pore Pressure	PhysicalQuantity
Fracture Gradient	PhysicalQuantity
Drill String	FunctionalObject
Drill Pipe	FunctionalObject
Drill Bit	FunctionalObject
Fishing Tools	FunctionalObject
Milling Tools 	FunctionalObject
Measure While Drilling	Activity
Logging While Drilling	Activity
Gamma Ray	Log
Mud Motor	FunctionalObject
Whipstock	FunctionalObject
Coring Tool	FunctionalObject
Drilling Phase	LifeCycleStage
Mobilization / Demobilization	LifeCycleStage
Workover	Activity
Abandonment	LifeCycleStage
Stimulation Jobs	Process
Stimulation Jobs	Activity
Sand Control	Activity
Security Barriers	FunctionalObject
Integrity Tests	Activity
Safety Drill	Activity
Incidents	Incident
HSE Analysis ?	Study
Daily Reports	Report
Activity Reports	Report
Rig	FunctionalObject
Well Intervention 	Activity
Equipments	FunctionalObject
Simulations	Activity
Samples	Compound
Engineering Study	Study
Performance Analysis	Study
Well Logs	Log
Planned Costs	LifeCycleStage
Realized Costs	LifeCycleStage
Rig Planning	Planning
Well Intervention Planning	Planning
Operational Planning	Planning
Drilling Well Program Sequence Planning	Planning
Rig Activity	Activity
Well Intervention Activity 	Activity
Personnel Activity	Activity
Lessons Learnt	Report
Company Rules	Requirement
Return of Experience 	Report
Derogations	Requirement
Management of Change	Activity
Country 	Location
Coordinate Reference System 	List
Geographical Zone	Location
Mean Sea Level	PhysicalQuantity
FullName	Nomenclature
Abreviated Name 	Nomenclature
Affiliate	Organization
FieldOps	Thing
Slot	Location
Calculated Trajectory	Calculation
Survey 	Study
Survey Tools	FunctionalObject
Calculated Values	Calculation
Survey	Study
Type	Quality
Top	Thing
Bottom 	Quality
Details	Description
Run Date	Date
Pull Date	Date
Diameter 	PhysicalQuantity
Working Pressure	PhysicalQuantity
Bottom	Quality
Drill Out Date	Date
Cemented Casing	FunctionalObject
Details (BHA + Drill Bit + Drill Pipe)	Description
POOH	Activity
Type, OD, ID , Serial Number ...	Quality
Type, OD, Serial Number, nozzle	Quality
Drilling Parameters	Description
LOT / FIT	Thing
Cement Jobs	Activity
POB	RealizableEntity
Time Log	Log
Hydraulic Fracturing	Activity
Acid Jobs	Activity
Operational Sequence	RealizableEntity
Reports	Report
Charts	Chart
Calculations	Calculation
Date	Date
Description	Description
Daily Drilling Reports	Report
Daily Mud Reports	Report
End Of Well Reports	Report
Drilling Well Program 	Plan
Well Statement Of Requirements	Requirement
Details 	Description
Blow Out Preventor 	FunctionalObject
Mud Pump	FunctionalObject
Shaker	FunctionalObject
Interpreted data / Raw Data / …	data
Log Type	List
Tool 	Thing
Interval 	Quality
Result	Report
AFE	RealizableEntity
Supplemental AFE	RealizableEntity
Operational Cost	Study
Look Ahead	Plan
Stock 	FunctionalObject
Supply	Activity
Transport	Thing
