"CFIHOS unique id","discipline CFIHOS unique id","discipline code","discipline name","document type CFIHOS unique id","document type short code","document type name","document type description","discipline document type short code","asset type reference","representation type","native file delivery timing","native document fomat","authenticated record format","required document status for detailed engineering","required document status for construction","required document status for commissioning","required document status for startup","required document status for operations","review type","discipline document type comment","hardcopy document required","translated document required","status","created date","modified date","terminated date","change request number","synonym"
"CFIHOS-20000500","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000232","0480","general agreement","A document which records scope and obligations as mutually agreed between two or more parties.","AA0480","Site","Text","not applicable",,,"IFI","IFI","IFI","not specified","IFI","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T14:53:14.601Z",,"CR0027;FR27;FR74",
"CFIHOS-20000501","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000177","0706","independent assessment","An assessment which is generated by 3rd party technical or execution expert on work done in their relevant field to assess correctness of approach/deliverable.","AA0706","Plant","not specified","not applicable",,,"not specified","not specified","not specified","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T14:53:14.601Z",,"CR0027;FR27;FR74",
"CFIHOS-20000502","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000318","0709","risk assessment","An assessment which details the quantitative or qualitative risk related to a specific scenario presented to Company.","AA0709","Plant","Text","during project",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T14:53:14.601Z",,"CR0027;CR0030;FR27;FR74",
"CFIHOS-20000503","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000387","0712","sustainable development project assessment report","Community Affairs, local content issues, societal effects of project, local business development, etc.","AA0712","Plant",,,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T14:53:14.601Z","2021-10-14T14:53:14.601Z","FR27;FR74",
"CFIHOS-20000504","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000234","0780","general assessment","An assessment which details a Health check, GAP analysis, etc. both informal and to meet Project Management Framework requirements. Not to be used if a more specific document type can be used. Can be used for singular/specialty deliverables which do not have a unique document type.","AA0780","Plant","Text","at handover",,,"not specified","not specified","not specified","not specified","not specified","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T14:53:14.601Z",,"CR0027;CR0030;FR27;FR74",
"CFIHOS-20000505","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000027","1905","benchmarking data","A data set used to evaluate or judge project estimates and or performance relative to it (i.e., ISO 19008).","AA1905","Plant",,,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","FR27;FR74",
"CFIHOS-20000506","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000115","3004","equipment production criticality rating report","A report documenting production criticality rating of equipment, sparing, maintenance testing and inspection requirements, spare parts requirements etc. Will feed into maintenance reference plan.","AA3004","Plant","Structured Data",,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","FR27;FR74",
"CFIHOS-20000507","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000243","3180","general estimate","A judgement based calculation showing a summation of cost/schedule taking into consider probabilities to develop a projected performance and should document rationale, approach, inputs, etc.","AA3180","Plant","not specified","not applicable",,,"not specified","not specified","not specified","not specified","not specified","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000508","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000044","3311","change notification","An advance notice to another party, e.g. another design department or fabrication facility, that there is going to be a change to a document that has been issued for construction. Synonyms include Design Change Notice (DCN), Advanced Change Notice (ACN).","AA3311","Site","Text","not applicable",,,"IFU","IFU","IFU","IFU","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000509","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000085","3322","demonstration note on compliance","A document that demonstrates that the design meets the Process Safety Basic Requirements (PSBR) of DEM 2 with evidences and references to documents.","AA3322","Site","not specified","not applicable",,,"not specified","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
