"discipline code","discipline name","discipline description","CFIHOS unique id","created date","modified date","terminated date","change request number","status"
"AA","project management and engineering","A macro discipline covering the administrative and management related items associated with a major capital project, including organization, cross-engineering discipline philosophies, basis of design, regulatory activities, etc.","CFIHOS-20000001","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"BA","construction","A macro discipline covering the specification and management of field installation and hook up of facilities.  May includes but is not limited to installation, transportation, fabrication, construction and mechanical completion related information.","CFIHOS-20000002","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"CB","architectural engineering","A civil engineering specialty addressing the design of buildings meant for occupancy.","CFIHOS-20000003","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"CG","geotechnical engineering","A civil engineering specialty addressing the engineering behaviors of earth materials.","CFIHOS-20000004","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"CI","infrastructure engineering","A civil engineering specialty addressing systems necessary to support a site, including but not limited to roads, ports, sewer, utilities, and power.","CFIHOS-20000005","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"CS","structural engineering","A civil engineering specialty addressing the design of structures which resist loads, specifically constructed of concrete and steel.","CFIHOS-20000006","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"CX","civil engineering","A discipline addressing the design and maintenance of earthworks, including but not limited to levees, berms, grade, and drainage.","CFIHOS-20000007","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"EA","electrical engineering","A discipline addressing the design and application of circuitry and equipment for power generation and distribution","CFIHOS-20000008","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"FA","cost and planning management","A discipline addressing the management of project cost and schedule, involving such activities as estimating, cost control, cost and schedule forecasting, investment appraisal and risk analysis","CFIHOS-20000009","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"HE","environmental","A discipline addressing the interface between capital project and the natural environment, specifically addressing risk analysis and mitigation to impact to air, water, flora and fauna.","CFIHOS-20000010","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"HH","health","A discipline addressing the health and welfare of personnel engaged in work or employment","CFIHOS-20000011","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"HP","security","A discipline addressing assessment of condition, analysis of risk and mitigation of potential harm to physical assets from external forces.","CFIHOS-20000012","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"HS","safety","A discipline addressing assessment of condition, analysis of risk and mitigation of potential harm to personnel as a result of their working conditions or behaviors","CFIHOS-20000013","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"HX","health, safety, environmental and security","A macro discipline used to classify content generally addressing a combination of Safety, Security, Health and Environmental, or any combination thereof.","CFIHOS-20000014","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"IN","instrumentation engineering","A discipline addressing the design and application of monitoring and control systems.","CFIHOS-20000015","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"JA","information management","A discipline addressing the collection and management of information both in document and data formats","CFIHOS-20000016","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"KA","information technology","A discipline addressing internal networks, security, and equipment to store, retrieve, transmit and manipulate data at a facility, etc.  Specifically excluded facility control systems.","CFIHOS-20000017","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"LA","pipeline engineering","A discipline addressing the systems that are used to transport liquids and gases. Including but not limited to pipeline design hydraulics, routes & stability,specification and other accessories such as cathodic protection, pigging equipment etc.","CFIHOS-20000018","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"MH","heating, ventilating, and air conditioning","A mechanical engineering specialty addressing the design and application of systems for heating, ventilation, and/or air-conditioning (HVAC)","CFIHOS-20000019","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"MP","piping engineering","A mechanical engineering specialty addressing the design, routing, and control of flow inside process and utilities via piping and related specialty equipment","CFIHOS-20000020","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"MR","mechanical rotating engineering","A mechanical engineering specialty addressing mechanical components used to add kinetic energy to any process in order to make a material move. The equipment may include pumps, turbines, gearboxes, compressors, engines, etc.","CFIHOS-20000021","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"MS","mechanical static engineering","A mechanical engineering specialty addressing mechanical equipment with no rotating components.  The equipment may include tanks, vessels, heat exchangers, and fired equipment such as furnaces and boilers.","CFIHOS-20000022","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"MX","mechanical engineering","A macro discipline used to classify content generally addressing a combination of Piping, HVAC, Rotating, or Static equipment, or any combination thereof.","CFIHOS-20000023","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"NA","maintenance management","A discipline addressing equipment reliability and planning required to maintain the equipment and other infrastructure. Includes procedures, spares, etc.","CFIHOS-20000024","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"OA","operations management","A discipline related to the planning, scheduling and future operations management post turnover. Including but not limited to training materials, procedures, strategies, organization design, etc.","CFIHOS-20000025","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"PX","process engineering","A discipline related to the design, operation, control, and optimization of chemical, physical, and biological processes. Including but not limited to process flow definition, process modeling, etc.","CFIHOS-20000026","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"QA","quality management","A discipline addressing quality planning, assurance, control and improvement.","CFIHOS-20000027","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"RA","materials engineering","A discipline addressing material selection and methods to manage integrity for the facility lifecycle, including corrosion management through coatings, linings, cathodic protection, inhibition, weld procedures, etc.","CFIHOS-20000028","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"SA","logistics management","A discipline addressing the management of the transport, storage, distribution, and warehousing of materials and finished goods.  May also include transport and logistics of personnel, where applicable.","CFIHOS-20000029","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"TA","telecommunications","A discipline addressing external communication systems.  This typically includes, any systems or equipment used for transmission of information across a distance, such as coax cable, optical fiber, radio, dish, etc.","CFIHOS-20000030","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"UA","subsea engineering","A discipline addressing design and control of production systems to be installed on the sea floor as well as any support equipment which tether those systems to a facility. Including but not limited to flowlines, wellheads, umbilicals, risers, etc.","CFIHOS-20000031","2017-02-13T20:52:31.148Z","2019-07-01T19:49:43.455Z",,"CR0027","STANDARD"
"VA","contracting and procurement management","A discipline addressing management of contractual development and administration, as well as procurement of finished goods from third parties.","CFIHOS-20000032","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"WA","ocean engineering","A discipline addressing the collection and analysis of environmental conditions specific to offshore locations, including but not limited to metocean analysis, navigational analysis, ice studies, etc. Excludes structural design and loading.","CFIHOS-20000033","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z",,"CR0027","STANDARD"
"ZE","geology","Geology is the discipline concerned with the study of solid Earth, the rocks of which it is composed, and the processes by which they change.","CFIHOS-20000034","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z","2019-03-29T14:43:21.281Z","CR0027","TERMINATED"
"ZF","finance","Finance is the discipline concerned with the practice of funds management, or the allocation of assets and liabilities over time under conditions of certainty and uncertainty.","CFIHOS-20000035","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z","2019-03-29T14:43:21.281Z","CR0027","TERMINATED"
"ZG","geomatics","Geomatics is the discipline of gathering, storing, processing, and delivering geographic information, or spatially referenced information.","CFIHOS-20000036","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z","2019-03-29T14:43:21.281Z","CR0027","TERMINATED"
"ZH","human resources","Human Resources is the discipline concerned with the management process of an organization's workforce, or human resources.","CFIHOS-20000037","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z","2019-03-29T14:43:21.281Z","CR0027","TERMINATED"
"ZP","petrophysics","Petrophysics is the discipline concerned with the study of physical and chemical rock properties and their interactions with fluids.","CFIHOS-20000038","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z","2019-03-29T14:43:21.281Z","CR0027","TERMINATED"
"ZR","reservoir engineering","Reservoir engineering is a discipline that applies scientific principles to the drainage problems arising during the development and production of oil and gas reservoirs so as to obtain a high economic recovery.","CFIHOS-20000039","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z","2019-03-29T14:43:21.281Z","CR0027","TERMINATED"
"ZS","geophysics","Geophysics is the physics of the Earth and its environment in space; also the study of the Earth using quantitative physical methods.","CFIHOS-20000040","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z","2019-03-29T14:43:21.281Z","CR0027","TERMINATED"
"ZT","production technology",,"CFIHOS-20000041","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z","2019-03-29T14:43:21.281Z","CR0027","TERMINATED"
"ZW","well engineering",,"CFIHOS-20000042","2017-02-13T20:52:31.148Z","2019-03-29T14:43:21.281Z","2019-03-29T14:43:21.281Z","CR0027","TERMINATED"
"BC","commissioning","A discipline covering the management of verification of installation, energization and testing of equipment.  May include but is not limited to multi-discipline procedures, etc.","CFIHOS-20000043","2019-03-29T14:42:31.660Z","2019-08-09T13:59:45.295Z",,"CR0027","STANDARD"
