"document type short code","document type name","document type description","document type classification code","CFIHOS unique id","synonym","created date","modified date","terminated date","change request number","status"
"6067","acceptance test procedure","Includes FAT and non-FAT (Factory Acceptance Test) procedures. Also see Acceptance Test Report for definitions.",,"CFIHOS-70000001",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6801","accident report","Reports of all accidents occurring during the projects, including on-site, in contractors offices, etc.",,"CFIHOS-70000002",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5501","accommodation philosophy","Design considerations for accommodating personnel, including temporary refuges and associated facilities.",,"CFIHOS-70000003",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"4301","action list","A collection of activities tracking responsible parties and status, including but not limited to punch lists, issues lists, and check lists.","DOCT","CFIHOS-70000004",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6802","active fire protection system specification","Design data and information that forms the basis of the performance specification for the active fire fighting systems (manual, foam, monitor, deluge/sprinkler systems etc.).","CONT","CFIHOS-70000005",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"5701","activity plan",,,"CFIHOS-70000006",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"4302","alarm, trip setting list","A collection of all instrument set points and/or alarms.  Each instrument having an alarm or trip function is listed. Alarms and settings are given as percentages of transmitter range and in engineering units, together with transmitter range, location of the annunciation point, cabinet, identification and relevant P&IDs/PEFS or logic drawing.","CONT","CFIHOS-70000007",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"1903","alignment data",,,"CFIHOS-70000008",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2405","anchoring diagram","A diagram showing anchoring and mooring of offshore vessels and structures and the interaction of anchor lines with sub-sea pipelines and structures.","CONT","CFIHOS-70000009",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"8268","anchoring study","Includes anchoring of offshore vessels and the interaction of anchor lines with sub-sea pipelines and structures.","CONT","CFIHOS-70000010",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"4303","applicable standards list","A collection of all applicable Company Standards, International, National and Industry Codes & Standards that are referenced in the Company Standards and project specific Specifications.","CONT","CFIHOS-70000011",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"3304","application software","A computer program designed for a specific task or use.","DOCT","CFIHOS-70000012",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"1401","approval certificate","A document issued by a recognised independent authority certifying the equipment has been manufactured in accordance with code/standard. Type approval certificates are normally acceptable for proprietary items. CE Mark certification or similar equivalent shall be included under this document type.","DOCT","CFIHOS-70000013",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030;FR27","STANDARD"
"4305","approved vendor list","A collection of approved vendors and suppliers for a particular contract.","CONT","CFIHOS-70000014",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"1904","aspect data","Data which further describes an element of an organisation's activities, products or services that can interact with the environment.  Enhances Aspect Register.","CONT","CFIHOS-70000015",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"6602","aspect register","Register of environmental issues related to the project",,"CFIHOS-70000016",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2305","assembly diagram","A diagram utilized for transient activity during assembly (e.g. sequence of activity) and not finished work.","DOCT","CFIHOS-70000017",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"5705","asset reference plan","An integrated lifecycle management and development plan for surface and sub-surface facilities, including development scenarios, and phased development plans.","CONT","CFIHOS-70000018",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"5706","assurance plan","A plan assuring that standards of quality are being met by systematically monitoring and evaluating the various aspects of deliverables vs standards.  Predecessor to Document Distribution Matrix.","CONT","CFIHOS-70000019",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6003","assurance procedure","Quality, compliance, technical, value, cost and schedule assurance.",,"CFIHOS-70000020",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"8202","dispersion study","A document detailing the dispersion of atmospheric releases from flaring, venting, and exhaust from compressors and machinery as well as dispersion of leaks to ground or water.","CONT","CFIHOS-70000021",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"5707","audit plan","A document capturing what particular audits and assessments will be carried out to achieve the overall quality program.  May include an overview schedule highlighting activities.","CONT","CFIHOS-70000022",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6603","authority matrix","A list or register of people or organisations authorised to perform a range of tasks which may be technical, financial, contractual, organisational, or other. Includes Technical Authorities Matrix.","CONT","CFIHOS-70000023",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"7704","basis of design","A document outlining the premise for decisions and the resulting principles that are to be followed regarding the design of the facility and comprising all process design philosophies including but not limited to environmental, drainage, ventilation, spading/isolation, plant availability/down time assessment and relief/blowdown philosophy etc.","CONT","CFIHOS-70000024",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"7179","basis of estimate","A document outlining the premise for decisions and the resulting principles that are to be followed regarding estimates. This document should be updated with each formal update of the project cost estimate, particularly at each stage gate. As much detail as possible should be provided in the document, relative to the scope definition available for the compilation of the estimate.","CONT","CFIHOS-70000025",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"8203","feasibility study","A document assessing the practicality and/or economics of a proposed solution.","CONT","CFIHOS-70000026",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"1905","benchmarking data","A data set used to evaluate or judge project estimates and or performance relative to it (i.e., ISO 19008).","CONT","CFIHOS-70000027",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"4306","bill of materials","A list of all parts and sub assemblies that constitute a particular assembly, showing the quantity of each required item. Typically developed from analyzing a drawing.","DOCT","CFIHOS-70000028",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"3309","bill of quantities","A consolidated list of assemblies or bulk material showing the quantity of each required to suit a purpose. Use Bill of Materials for sub assemblies and parts.","DOCT","CFIHOS-70000029",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"7402","three dimensional model review report","A report documenting the review results from 3D review addressing steelwork structure, equipment envelopes, escape routes, building envelopes, envelopes for main piping, HVAC and cable rack runs, preliminary road layouts, etc.","CONT","CFIHOS-70000030",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"4307","bolt list","Indicates number, type, size and material of all fixing bolts required.  Where temporary bolts are required to withstand transportation forces these shall also be indicated with suitable note of explanation.",,"CFIHOS-70000031",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2307","building diagram","To include external and internal layouts and elevations.",,"CFIHOS-70000032",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027;FR27","TERMINATED"
"4308","cable schedule","A collection of values relating to List of all cables, their specifications and end points. Indicates salient features of all cables in Vendor's supply and connecting cables supplied by Principal. Synonym: Cable List.","DOCT","CFIHOS-70000033",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"2901","cable size calculation","Calculations required for sizing of cables.","CONT","CFIHOS-70000034",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"4005","cable tray layout diagram","Drawing showing the routing of cable trays for electrical and instrumentation cables.",,"CFIHOS-70000035",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"1203","capacity calculation",,,"CFIHOS-70000036",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"8270","capital spares study","A consolidated study reviewing critical equipment and recommending capital spares.","CONT","CFIHOS-70000037",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"7005","cathodic protection design report","May include design assumptions, constraints, calculations and tables to describe the design.",,"CFIHOS-70000038",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2309","cathodic protection diagram","A diagram showing locations of cathodic protection and schematic diagrams.","DOCT","CFIHOS-70000039",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"8602","cathodic protection test report","Cathodic Protection test results to include test methodology and results",,"CFIHOS-70000040",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"4311","certified equipment list","Overview of all Certified Equipment.",,"CFIHOS-70000041",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6006","change control procedure","A procedure describing how changes through Design, Construction and Commissioning will be managed.","CONT","CFIHOS-70000042",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6605","change control register","A consolidated register of proposed and/or processed change associated with all change to originally agreed design scope/statement of requirements, including basis for design.","CONT","CFIHOS-70000043",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"3311","change notification","An advance notice to another party, e.g. another design department or fabrication facility, that there is going to be a change to a document that has been issued for construction. Synonyms include Design Change Notice (DCN), Advanced Change Notice (ACN).","CONT","CFIHOS-70000044",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
