"entity name","entity CFIHOS unique id","attribute name","entity attribute name","attribute CFIHOS unique id","entity attribute definition","note / comment","identifier / mandatory / optional","constraint must be present in","change request number","status","created date","modified date","terminated date"
"tag","CFIHOS-00000028","tag class name",,"CFIHOS-10000040","The full name of the tag or equipment class",,"Mandatory","tag class","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag","CFIHOS-00000028","tag description",,"CFIHOS-10000177","A functional description of the tag","The description can also include the parent tag, where required.   It should not include tag class, manufacturer and model information.","Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag","CFIHOS-00000028","tag name",,"CFIHOS-10000166","The full name of a tag","Different companies have different tag naming conventions. A tag name shall be unique within a plant.","Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag","CFIHOS-00000028","tag requisition number",,"CFIHOS-10000026","A requisition number that has been placed to acquire the tag",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag","CFIHOS-00000028","tag status",,"CFIHOS-10000025","An identification of the engineering phase in which the tag is",,"Mandatory","engineering status","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag class","CFIHOS-00000034","equipment expected to be installed indicator",,"CFIHOS-10000045","An indication whether equipment are expected to be installed for tags that are associated with this tag class","This is redundant with the tag class and equipment class relationship : the absence of that relationship would mean no equipment is expected to be installed. NO would be used when soft tags, civil tags (e.g. roads), ...","Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag class","CFIHOS-00000034","tag class name",,"CFIHOS-10000040","The full name of the tag class",,"Identifier","tag or equipment class","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag class","CFIHOS-00000034","tag number format",,"CFIHOS-10000099","An expression that represents the format of the tags belonging to the tag class","This allows companies to have specific tag formats","Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag class equipment class relationship","CFIHOS-00000050","equipment class name",,"CFIHOS-10000047","The full name of the tag or equipment class",,"Identifier","equipment class","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag class equipment class relationship","CFIHOS-00000050","tag class name",,"CFIHOS-10000040","The full name of the tag or equipment class",,"Identifier","tag class","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
