"equipment class name","equipment class CFIHOS unique id","equipment property name","equipment property CFIHOS unique id","property relevant for equipment indicator","property relevant for model / part indicator","SI unit of measure code","imperial unit of measure code","source standard code","source standard section","property name in source standard","status","change request number","created date","modified date","terminated date"
"absolute pressure transmitter","CFIHOS-30000395","ATEX category","CFIHOS-40000009",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","ATEX explosive atmosphere","CFIHOS-40000010",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","ATEX group","CFIHOS-40000011",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","calibration range","CFIHOS-40000634",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","explosion protection concept","CFIHOS-40000108",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","explosion protection examination certificate number","CFIHOS-40000109",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","explosion protection gas group","CFIHOS-40000110",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","explosion protection notified body","CFIHOS-40000111",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","explosion protection zone","CFIHOS-40000113",,,,,"IEC 60529:2013",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","fault tolerance","CFIHOS-40000635",,,,,"ISO 14224:2016",,,"STANDARD","CR0028;FR37","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"absolute pressure transmitter","CFIHOS-30000395","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","body material","CFIHOS-40000017",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","capacity (volume)","CFIHOS-40000489",,,"MTQ","FTQ",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","coating specification","CFIHOS-40000041",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","design specification","CFIHOS-40000487",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","dry weight","CFIHOS-40000494",,,"KGM","LBR",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","external maximum allowable working pressure new and cold","CFIHOS-40000115",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","head external corrosion allowance","CFIHOS-40000145",,,"MMT","INH",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","head internal corrosion allowance","CFIHOS-40000146",,,"MMT","INH",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","head wall thickness","CFIHOS-40000151",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","head weld joint efficiency","CFIHOS-40000152",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","height","CFIHOS-40000496",,,"MMT","INH",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","hydrostatic test pressure","CFIHOS-40000497",,,"BRG","64",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","inspection","CFIHOS-40000175",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","Inspection authority","CFIHOS-40000176",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","internal maximum allowable working pressure new and cold","CFIHOS-40000188",,,"BRG","64",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","legal registration number","CFIHOS-40000200",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","length tan tan","CFIHOS-40000500",,,"MMT","INH",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","lined surface","CFIHOS-40000633",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","minimum design metal temperature","CFIHOS-40000232",,,"CEL","FAH",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","nozzle external corrosion allowance","CFIHOS-40000294",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","nozzle internal corrosion allowance","CFIHOS-40000295",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","nozzle material specification","CFIHOS-40000297",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","operating weight","CFIHOS-40000516",,,"KGM","LBR",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","post weld heat treatment","CFIHOS-40000318",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","pressure relief device","CFIHOS-40000542",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","shell corrosion allowance","CFIHOS-40000344",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","shell inside diameter","CFIHOS-40000349",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","shell internal corrosion allowance","CFIHOS-40000350",,,"MMT","INH",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","shell material","CFIHOS-40000353",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","shell outside diameter","CFIHOS-40000360",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","shell wall thickness","CFIHOS-40000369",,,"MMT","INH",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","shell weld joint efficiency","CFIHOS-40000370",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","support fire proofing type","CFIHOS-40000405",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","support type","CFIHOS-40000406",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","tray type","CFIHOS-40000425",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"accumulator","CFIHOS-30000315","upper limit allowable pressure","CFIHOS-40000570",,,,,"ISO 14224:2016",,,"STANDARD","CR0028;FR37","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","upper limit allowable temperature","CFIHOS-40000571",,,,,"ISO 14224:2016",,,"STANDARD","CR0028;FR37","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"accumulator","CFIHOS-30000315","vacuum pressure","CFIHOS-40000477",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"adaptor connector","CFIHOS-30000801","ATEX category","CFIHOS-40000009",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"adaptor connector","CFIHOS-30000801","ATEX explosive atmosphere","CFIHOS-40000010",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"adaptor connector","CFIHOS-30000801","ATEX group","CFIHOS-40000011",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"adaptor connector","CFIHOS-30000801","explosion protection concept","CFIHOS-40000108",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"adaptor connector","CFIHOS-30000801","explosion protection examination certificate number","CFIHOS-40000109",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"adaptor connector","CFIHOS-30000801","explosion protection gas group","CFIHOS-40000110",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"adaptor connector","CFIHOS-30000801","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"adaptor connector","CFIHOS-30000801","explosion protection notified body","CFIHOS-40000111",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"adaptor connector","CFIHOS-30000801","explosion protection temperature class","CFIHOS-40000112",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"adaptor connector","CFIHOS-30000801","explosion protection zone","CFIHOS-40000113",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"adaptor connector","CFIHOS-30000801","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
