"parent equipment class name","equipment class name","equipment class definition","abstract class flag","CFIHOS unique id","spare part info required","reason for having class","synonym","created date","modified date","terminated date","change request number","status"
"other mechanical equipment","beam clamp","An equipment item that can be clamped to a beam to provide an attachment.","no","CFIHOS-30000001","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"vehicle","bicycle","A two or three wheeled vehicle designed to be propelled solely by human power, or a two or three wheeled vehicle that is a power assisted pedal cycle.","no","CFIHOS-30000002","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","blow out preventer","An artefact which is a stack or an assembly of heavy-duty valves intended to be attached to the top of the casing to control the well pressure.","no","CFIHOS-30000003","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","break glass unit","A device for actuating an alarm system that required a person to break the glass cover.","no","CFIHOS-30000004","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"health, safety and environment equipment class","breathing apparatus","A respirator in which air or oxygen is fed to a face mask carried by the wearer via a demand valve.","no","CFIHOS-30000005","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"infrastructure","bridge","Is a support structure intended to span a space.","no","CFIHOS-30000006","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"enclosure","cabinet","Is an enclosure intended to hold and protect electrical components.","no","CFIHOS-30000007","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"enclosure","caisson","A protective device used to protect equipment (e.g. riser pipes and submerged pumps) against environmental exposure.","no","CFIHOS-30000008","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"level transmitter","capacitance level transmitter","A level transmitter which uses the capacitance of the process material.","no","CFIHOS-30000010","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0002;CR0005;CR0014;CR0029;CR0030;FR60","STANDARD"
"vehicle","car","A vehicle of less than 3.5 tonnes for transporting people and small goods.","no","CFIHOS-30000011","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"IT and telecom equipment","cctv camera","Closed-Circuit TeleVision Camera capable of acquiring and delivering to a recording device full-motion video.","no","CFIHOS-30000012","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0014;CR0028;CR0030;CR0029;FR60","STANDARD"
"lifting device","chain hoist","A hoist utilizing a chain-rope for suspending load. Chain hoists are delivered as portable units or for permanent mounting, e.g. on a crane. They can be hand operated or air powered, electrical powered or hydraulic powered.","no","CFIHOS-30000013","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"infrastructure","chimney","Is a shaft (civil) intended to transport flue gas to a high location in the atmosphere. It may also be used to supply fresh air via a separate flue.","no","CFIHOS-30000014","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"electrical equipment class","chlorinator","A device used for the injection of chlorine into water for the purpose of disinfection.","no","CFIHOS-30000015","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z","2021-10-12T14:57:36.093Z","CR0005;CR0012;CR0029;FR60","TERMINATED"
"other mechanical equipment","clamp","A mechanical device made for keeping objects firmly in place or position, temporary or permanently.","no","CFIHOS-30000016","no",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
"other mechanical equipment","cleaning machine","Any mechanical or electrical device that transmits or modifies energy to perform or assist a cleaning operation in the performance of human tasks.","no","CFIHOS-30000017","yes",,,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0030;CR0029;FR60","STANDARD"
