"coding source code","CFIHOS unique id","CFIHOS code equivalent value","created date","modified date","terminated date","status","change request number"
"POSC CAESAR","CFIHOS-20000001","RDS2227295","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000002","RDS2226702","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000003","RDS2227222","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000004","RDS2227248","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000005","RDS2226705","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000006","RDS2227288","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000007","RDS2226708","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000008","RDS2227228","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000009","RDS2227225","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000010","RDS2227232","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000011","RDS2227252","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000012","RDS2226712","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000013","RDS2226715","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000014","RDS2226718","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000015","RDS2227265","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000016","RDS2227258","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000017","RDS2227262","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000018","RDS2226722","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000019","RDS2226725","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000020","RDS2226728","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000021","RDS2226732","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000022","RDS2226735","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000023","RDS2226738","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000024","RDS2224671","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000025","RDS2227272","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000026","RDS2227278","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000027","RDS2227282","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000028","RDS2226745","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000029","RDS2227268","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000030","RDS2227292","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000031","RDS2226758","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000032","RDS2226762","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000033","RDS2224674","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-20000043","RDS2224677","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000001","RDS1324408031","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000002","RDS16236439","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000002","670171","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000003","RDS6712331","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000005","RDS621044","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000006","RDS289304","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000006","40017","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000007","RDS485369","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000007","70037","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000008","RDS286244","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000010","RDS1011374","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000010","71262","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000011","RDS11526424","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000011","670024","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000012","RDS1300003161","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000013","RDS5799410","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000014","40029","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000016","RDS1324266341","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000016","10421","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000019","70044","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000021","RDS1455523211","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000022","RDS5773641","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000023","RDS613394","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000026","RDS297764","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000030","RDS298079","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000030","70095","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000034","71280","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000035","71227","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000037","RDS7038826","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000038","RDS299519","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000039","RDS5036404627","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000039","250150","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000042","RDS403501741","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000042","130111","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000043","RDS300374","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000043","10264","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000044","RDS300509","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
