"picklist name","CFIHOS unique id","created date","modified date","terminated date","change request number","status"
"actuator motion","CFIHOS-50000001","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"actuator seal material","CFIHOS-50000002","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"air cooler type","CFIHOS-50000003","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"asset type","CFIHOS-50000004","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"ATEX category","CFIHOS-50000005","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"ATEX explosive atmosphere","CFIHOS-50000006","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"ATEX group","CFIHOS-50000007","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"battery construction","CFIHOS-50000008","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"boiler type","CFIHOS-50000009","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"burner type","CFIHOS-50000010","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"capacitor bank cooling method","CFIHOS-50000011","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"capacity control","CFIHOS-50000012","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"coating material","CFIHOS-50000013","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"controlled property","CFIHOS-50000014","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"cooling on","CFIHOS-50000015","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"cooling type","CFIHOS-50000016","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"country","CFIHOS-50000017","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z","2021-10-05T04:28:32.457Z","CR0003","TERMINATED"
"coupling type","CFIHOS-50000018","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"crane type","CFIHOS-50000019","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"currency","CFIHOS-50000020","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z","2021-10-05T04:28:32.457Z","CR0030","TERMINATED"
"cycle","CFIHOS-50000021","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"cylinder head cooling method type","CFIHOS-50000022","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"data type","CFIHOS-50000023","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"direction of rotation","CFIHOS-50000024","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"document format","CFIHOS-50000025","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"document master review type","CFIHOS-50000026","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z","2021-10-05T04:28:32.457Z","CR0003","TERMINATED"
"document review type","CFIHOS-50000027","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"document status code","CFIHOS-50000028","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"document type storage type","CFIHOS-50000029","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z","2021-10-05T04:28:32.457Z","CR0023","TERMINATED"
"driver type","CFIHOS-50000030","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"electric generator cooling method","CFIHOS-50000031","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"electric motor bearing lubrication","CFIHOS-50000032","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"electric motor cooling method","CFIHOS-50000033","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"electrical insulation class","CFIHOS-50000034","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"electrical plug type","CFIHOS-50000035","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
"electrical transformer type","CFIHOS-50000036","2017-02-13T22:47:01.690Z","2021-10-05T04:28:32.457Z",,"V1.2","STANDARD"
