"picklist name","picklist value","picklist value description","CFIHOS unique id","source standard code","created date","modified date","terminated date","change request number","status"
"ATEX category","1",,"CFIHOS-60000006",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"ATEX category","2",,"CFIHOS-60000021",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"ATEX category","3",,"CFIHOS-60000034",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"ATEX category","M1",,"CFIHOS-60000785",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"ATEX category","M2",,"CFIHOS-60000786",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"ATEX explosive atmosphere","D",,"CFIHOS-60000360","DIRECTIVE 94/9/EC:1994","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"ATEX explosive atmosphere","DA","Very High Protection","CFIHOS-60001738","EN 60079-0:2018","2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
"ATEX explosive atmosphere","DB","High Protection","CFIHOS-60001739","EN 60079-0:2018","2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
"ATEX explosive atmosphere","DC","Normal Protection","CFIHOS-60001740","EN 60079-0:2018","2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
"ATEX explosive atmosphere","G",,"CFIHOS-60000535","DIRECTIVE 94/9/EC:1994","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"ATEX explosive atmosphere","GA","Very High Protection","CFIHOS-60001742","EN 60079-0:2018","2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
