"property name","property definition","property data type","property data type length","unit of measure dimension code","picklist name","CFIHOS unique id","reason for having property","synonym","created date","modified date","terminated date","change request number","status"
"tag status","Identify in which engineering phase the Tag is.","Text",40,,"engineering status","CFIHOS-10000025",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"production critical item","Identifies if the loss of the Tag function would immediately have a cost impact (e.g., loss of production).","Boolean",3,,,"CFIHOS-10000027",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"safety critical item","Identifies a Safety Critical Element (as perInternational Std). Safety Critical Elements (SCEs) are those elements of risk barriers, including equipment, hardware, and related control systems: - the failure of which could lead to a Major Accident or Even","Boolean",3,,,"CFIHOS-10000028",,"safety critical element","2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"safety critical item group","The Safety Critical Group identified according to International Std.  This is only required if SAFETY_CRITICAL_ITEM=Yes.","Text",5,,"safety critical item group","CFIHOS-10000029",,"safety critical element group","2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"manufacturer","If set to Yes, indicates that the Company is manufacturing model part.","Boolean",3,,,"CFIHOS-10000036",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"supplier","If set to Yes, indicates that the Company is supplying model part.","Boolean",3,,,"CFIHOS-10000037",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"abstract class flag","When set to No, indicates that the Class can be used for classifying Tag, Equipment or Model_Part. If set to Yes, indicates that the Class can only be used for building a class hierarchy.","Boolean",3,,,"CFIHOS-10000042",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"equipment installed","Indicate if equipment is expected to be installed for this type of Tag.","Boolean",3,,,"CFIHOS-10000045",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"spare part info req","Indicate if some spare part information is required for this type of Equipment.","Boolean",3,,,"CFIHOS-10000055",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"document review type","Defines the type of review that Principal shall perform for a document.","Text",40,,"document review type","CFIHOS-10000064",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0003;CR0030","TERMINATED"
"document status code","A code used to indicate the life cycle status of the document.","Text",3,,"document status code","CFIHOS-10000083",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"export control classification","Indicate the Export Control Rule applicable for the Document (e.g., ECCN, EAR).","Text",40,,,"CFIHOS-10000086",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"security classification","Indicate the Access restriction applicable for the Document.","Text",20,,,"CFIHOS-10000088",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"storage media","Indicates the media type used for storing the content.","Text",20,,"media type","CFIHOS-10000094",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
