"source standard code","source standard doc and data req number","source standard doc and data req title","source standard doc and data req typical deliverable","source standard doc and data req description","source standard doc and data req comment","document and data requirement type code","document and data requirement group code","engineering standard source chapter","discipline code","document type short code","default submit at proposal indicator","default submit for review indicator","default submit at delivery indicator","default issue for review number of weeks","default issue for review reference date","default issue for approval number of weeks","default issue for approval reference date","default for information number of weeks","default for information reference date","default required handover status code","default required translation indicator","deliverable format code","CFIHOS unique id","status","change request number","created date","modified date","terminated date"
"IOGP S-560:2016","S560-IR-102","NAME PLATE FORMAT DRAWING","name plate drawing",,,"equipment","technical information deliverables","S-560, Clause 6.1",,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000101","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-103","PSC ASSEMBLY FUNCTIONAL UNIT SUB-ASSEMBLY ARRANGEMENT","assembly diagram","NOTE - To provide individual compartment arrangements if required by the User",,"equipment","technical information deliverables","S-560, Clauses 8.5.2.101 / 8.5.3.101",,"2305",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000102","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-105","PSC-ASSEMBLY INTERNAL INTERCONNECTION DIAGRAM","connection diagram",,,"equipment","technical information deliverables",,,"8804",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000103","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-106","PSC-ASSEMBLY EXTERNAL TERMINATION DIAGRAM","termination diagram",,,"equipment","technical information deliverables",,,"2389",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000104","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-108","ELECTRICAL PROTECTION STUDY","safe operation study",,,"equipment","technical information deliverables","S-560, Clause 8.6.2.3 / IEC61349-1 Clause 9.3.4",,"8251",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000105","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-109","CURRENT AND POTENTIAL (CT/VT) TRANSFORMER CURVES","curves and tables calculations",,,"equipment","technical information deliverables","S-560 Clauses 8.5.3.109, 8.5.3.110",,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000106","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-110","PERFORMANCE DATA","manufacturer datasheet","NOTE - Electrical characterisitics of protection devices and switching devices included within the PSC-Assembly for the User power systems studies eg short circuit, arc flash and protection relay coordination etc.",,"equipment","technical information deliverables","S-560, Clause 9",,"2111",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000107","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-112","PACKING / UNPACKING AND PRESERVATION PROCEDURE","handling, shipping and storage procedure","NOTE - Intial submission to be provided for project execution planning and then to be included in the final manuals",,"equipment","technical information deliverables",,,"6042",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000108","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-113","LOGISTICS, HANDLING AND SHIPPING PROCEDURE & ASSOCIATED DRAWINGS","handling, shipping and storage procedure","NOTE - Intial submission to be provided for project execution planning and then to be included in the final manuals.",,"equipment","technical information deliverables",,,"6042",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000109","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-115","QUALITY MANAGEMENT SYSTEM AND CERTIFICATION","flawless project delivery quality plan",,,"equipment","technical information deliverables",,,"5876",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000110","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-116","QUALITY PLAN","quality plan",,,"equipment","technical information deliverables",,,"5798",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000111","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
