"source standard code","source standard description","source standard still to be completed indicator","CFIHOS unique id","change request number","status","created date","modified date","terminated date"
"ANSI/ISA-75.05.01-2019","Control Valve Terminology","no","CFIHOS-90000001","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ANSI/ISA-84.00.01-2004 Part 1","Functional Safety: Safety Instrumented Systems For The Process Industry Sector - Part 1: Framework, Defintions, System, Hardware And Software Requirements","no","CFIHOS-90000002","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Spec 17D:2011","Design and Operation of Subsea Production Systems—Subsea Wellhead and Tree Equipment","yes","CFIHOS-90000003","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Spec 17J:2014","Specification for Unbonded Flexible Pipe","no","CFIHOS-90000004","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Spec 17K:2017","Specification for Bonded Flexible Pipe","no","CFIHOS-90000005","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Spec 2C:2020","Offshore Pedestal-Mounted Cranes","yes","CFIHOS-90000006","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Spec 5L:2018","Line Pipe","yes","CFIHOS-90000007","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Spec 6D:2014","Specification for Pipeline and Piping Valves","no","CFIHOS-90000008","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 17F:2017","Standard for Subsea Production Control Systems","no","CFIHOS-90000009","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 526:2017","Flanged Steel Pressure-Relief Valves","no","CFIHOS-90000010","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 546:2008","Brushless Synchronous Machines—500 kVA and Larger","no","CFIHOS-90000011","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 600:2015","Steel Gate Valves—Flanged and Butt-Welding Ends, Bolted Bonnets","yes","CFIHOS-90000012","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 603:2018","Corrosion-Resistant, Bolted Bonnet Gate Valves—Flanged and Butt-Welding Ends","yes","CFIHOS-90000013","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 609:2016","Butterfly Valves: Double-Flanged, Lug- and Wafer-Type","no","CFIHOS-90000014","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 610:2010","Centrifugal Pumps for Petroleum, Petrochemical and Natural Gas Industries","no","CFIHOS-90000015","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 611:2008","General Purpose Steam Turbines for Petroleum, Chemical, and Gas Industry Services","yes","CFIHOS-90000016","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 612:2014","Petroleum Petrochemical, and Natural Gas Industries—Steam Turbines—Special-Purpose Applications","yes","CFIHOS-90000017","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 613:2007","Special Purpose Gear Units for Petroleum, Chemical and Gas Industry Services","yes","CFIHOS-90000018","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 616:2011","Gas Turbines for the Petroleum, Chemical, and Gas Industry Services","yes","CFIHOS-90000019","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 617-1:2010","Axial and Centrifugal Compressors and Expander-Compressors - Part 1","yes","CFIHOS-90000020","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 617-2:2010","Axial and Centrifugal Compressors and Expander-Compressors - Part 2","yes","CFIHOS-90000021","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 617:2014","Axial and Centrifugal Compressors and Expander-Compressors","no","CFIHOS-90000022","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 618:2007","Reciprocating Compressors for Petroleum, Chemical and Gas Industry Services","yes","CFIHOS-90000023","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 619:2010","Rotary-Type Positive Displacement Compressors for Petroleum, Petrochemical and Natural Gas Industries","yes","CFIHOS-90000024","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 650:2012","Welded Tanks for Oil Storage","yes","CFIHOS-90000025","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 660:2015","Shell-and-Tube Heat Exchangers","yes","CFIHOS-90000026","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 670:2014","Machinery Protection Systems","yes","CFIHOS-90000027","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 672:2004","Packaged, Integrally Geared Centrifugal Air Compressors for Petroleum, Chemical, and Gas Industry Services","yes","CFIHOS-90000028","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 673:2014","Centrifugal Fans for Petroleum, Chemical, and Gas Industry Services","yes","CFIHOS-90000029","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 674:2010","Positive Displacement Pumps—Reciprocating","yes","CFIHOS-90000030","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 675:2019","Positive Displacement Pumps—Controlled Volume for Petroleum, Chemical, and Gas Industry Services","yes","CFIHOS-90000031","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 676:2009","Positive Displacement Pumps—Rotary","yes","CFIHOS-90000032","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 677:2006","General-Purpose Gear Units for Petroleum, Chemical and Gas Industry Services","yes","CFIHOS-90000033","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Std 681:1996","Liquid Ring Vacuum Pumps and Compressors for Petroleum, Chemical, and Gas Industry Services","yes","CFIHOS-90000034","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ASME B31.3 - 2020","Process Piping","no","CFIHOS-90000035","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ASME BPVC Section VIII","Rules for Construction of Pressure Vessels","no","CFIHOS-90000036","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"EN 13852-1:2013","Cranes. Offshore cranes. General-purpose offshore cranes","yes","CFIHOS-90000037","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"EN 14015:2004","Specification for the design and manufacture of site built, vertical, cylindrical, flat-bottomed, above ground, welded, steel tanks for the storage of liquids at ambient temperature and above","yes","CFIHOS-90000038","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"FCI 70-2-2021","Control Valve Seat Leakage","no","CFIHOS-90000039","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 60034-1:2017","Rotating electrical machines – Part 1: Rating and performance","yes","CFIHOS-90000040","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 60269-1:2014","Low-voltage fuses – Part 1: General requirements","yes","CFIHOS-90000041","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 60282-1:2009","High-voltage fuses - Part 1: Current-limiting fuses","yes","CFIHOS-90000042","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 60282-1:2020","High-voltage fuses – Part 1: Current-limiting fuses","yes","CFIHOS-90000043","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 60529:2013","DEGREES OF PROTECTION PROVIDED BY ENCLOSURES (IP CODE)","no","CFIHOS-90000044","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 60534-4:2006","Industrial-Process Control Valves - Part 4: Inspection and Routine Testing","no","CFIHOS-90000045","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 60534-7:2010","Industrial-process control valves – Part 7: Control valve data sheet","no","CFIHOS-90000046","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 60537:1976 Withdrawn","Frequency weighting for the measurement of aircraft noise (D-weighting)","yes","CFIHOS-90000047","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 60947-2:2006","Low voltage Equipment - Part 2: Circuit-breakers","yes","CFIHOS-90000048","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 61439-1:2020","Low-voltage switchgear and controlgear assemblies – Part 1: General rules","yes","CFIHOS-90000049","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 61439-2:2020","Low-voltage switchgear and controlgear assemblies – Part 2: Power switchgear and controlgear assemblies","yes","CFIHOS-90000050","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 62271-100:2017","High-voltage switchgear and controlgear – Part 100: Alternating-current circuit-breakers","yes","CFIHOS-90000051","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 62271-200:2011","HIGH-VOLTAGE SWITCHGEAR AND CONTROLGEAR - PART 200: AC METAL-ENCLOSED SWITCHGEAR AND CONTROLGEAR FOR RATED VOLTAGES ABOVE 1 KV AND UP TO AND INCLUDING 52 KV","yes","CFIHOS-90000052","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-560:2016","Low-Voltage Switchgear & Controlgear to IEC 61439 – 1&2","yes","CFIHOS-90000053","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-561:2018","Subsea Trees to API Spec 17D","yes","CFIHOS-90000054","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-562:2019","Valve – Ball to API Spec 6D","yes","CFIHOS-90000055","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-563:2018","Materials for Piping and Valve Components - Material Data Sheets","yes","CFIHOS-90000056","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-611:2019","Valve – Gate to API Spec 600 and API Spec 603","yes","CFIHOS-90000057","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-612:2018","Air Compressor – Integrally Geared Centrifugal to API Std 672","yes","CFIHOS-90000058","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-613:2018","Air Dryer Package","yes","CFIHOS-90000059","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-614:2018","Heat Exchangers – Shell and Tube to API Std 660","yes","CFIHOS-90000060","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-615:2019","Pumps – Centrifugal to API Std 610","yes","CFIHOS-90000061","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-616:2019","Line Pipe to API Spec 5L and ISO 3183","yes","CFIHOS-90000062","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-617:2018","Cranes – Offshore General Purpose to EN 13852-1","yes","CFIHOS-90000063","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-618:2018","Cranes – Offshore Pedestal Mounted to API Spec 2C","yes","CFIHOS-90000064","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-619:2018","Pressure Vessels – Unfired, Fusion Welded","yes","CFIHOS-90000065","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-620:2018","High-voltage Switchgear & Controlgear to IEC 62271-200","yes","CFIHOS-90000066","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-700:2020","Special Purpose Couplings","yes","CFIHOS-90000067","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-703:2020","Low Voltage Motors – Specification","yes","CFIHOS-90000068","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-705:2020","Welding of Pressure Containing Equipment & Piping","yes","CFIHOS-90000069","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-708:2020","Subsea Pipeline Valves","yes","CFIHOS-90000070","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-710:2020","Air-cooled Heat Exchangers","yes","CFIHOS-90000071","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-712:2020","General Purpose Gear Units","yes","CFIHOS-90000072","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-713:2020","Special Purpose Gear Units","yes","CFIHOS-90000073","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-715:2020","Coating & Painting for Offshore, Marine Coastal & Subsea Environments","yes","CFIHOS-90000074","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-717:2020","Noise Emitting Equipment","yes","CFIHOS-90000075","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-719:2020","Water Fire Mist Protection Systems","yes","CFIHOS-90000076","FR37;FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISA-TR20.00.01-2007","Specification Forms for Process Measurement and Control Instruments Part 1: General Considerations","no","CFIHOS-90000077","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISA-TR84.00.03-2019","Automation Asset Integrity of Safety Instrumented Systems (SIS)","no","CFIHOS-90000078","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 10437:2003","PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — STEAM TURBINES — SPECIAL-PURPOSE APPLICATIONS","no","CFIHOS-90000079","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 10438-1:2007","Lubrication, shaft-sealing and control-oil systems and auxiliaries — Part 1: General requirements","yes","CFIHOS-90000080","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 10439-2:2015","PETROLEUM, PETROCHEMICAL AND NATURAL GAS INDUSTRIES — AXIAL AND CENTRIFUGAL COMPRESSORS AND EXPANDER-COMPRESSORS — PART 2: NON-INTEGRALLY GEARED CENTRIFUGAL AND AXIAL COMPRESSORS","no","CFIHOS-90000081","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 10440-1:2007","Petroleum, petrochemical and natural gas industries — Rotary-type positive-displacement compressors — Part 1: Process compressors","no","CFIHOS-90000082","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 10441:2007","Flexible couplings for mechanical power transmission — Special-purpose applications","yes","CFIHOS-90000083","FR37;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
