"tag class name","tag class CFIHOS unique id","tag property name","tag property CFIHOS unique id","SI unit of measure code","imperial unit of measure code","source standard code","source standard section","property name in source standard","status","change request number","created date","modified date","terminated date"
"absolute pressure transmitter","CFIHOS-30000395","explosion protection gas group","CFIHOS-40000110",,,"IEC 60529:2013",,,"STANDARD","CR0002;FR60","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"absolute pressure transmitter","CFIHOS-30000395","explosion protection temperature class","CFIHOS-40000112",,,"IEC 60529:2013",,,"STANDARD","CR0002;FR60","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"absolute pressure transmitter","CFIHOS-30000395","explosion protection zone","CFIHOS-40000113",,,"IEC 60529:2013",,,"STANDARD","CR0002;FR60","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"absolute pressure transmitter","CFIHOS-30000395","safety integrity level","CFIHOS-40000579",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","bottom section normal operating pressure","CFIHOS-40000026","BRG","64",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","bottom section normal operating temperature","CFIHOS-40000027","CEL","FAH",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","design specification","CFIHOS-40000487",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","external coating specification","CFIHOS-40000613",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","external insulation type","CFIHOS-40000114",,,"ASME BPVC Section VIII",,,"STANDARD","CR0029;FR60","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","fluid name","CFIHOS-40000132",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","insulation code","CFIHOS-40000178",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","intermediate section normal operating pressure","CFIHOS-40000184","BRG","64",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","intermediate section normal operating temperature","CFIHOS-40000185","CEL","FAH",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","top section normal operating pressure","CFIHOS-40000420","BRG","64",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","top section normal operating temperature","CFIHOS-40000421","CEL","FAH",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","upper limit design pressure","CFIHOS-40000535","BRG","64",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"absorber column","CFIHOS-30000800","upper limit design temperature","CFIHOS-40000536","CEL","FAH",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"accumulator","CFIHOS-30000315","coil normal operating pressure","CFIHOS-40000042",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","coil normal operating temperature","CFIHOS-40000043",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","design specification","CFIHOS-40000487",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"accumulator","CFIHOS-30000315","external coating specification","CFIHOS-40000613",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"accumulator","CFIHOS-30000315","external insulation type","CFIHOS-40000114",,,"ASME BPVC Section VIII",,,"STANDARD","V1.2","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"accumulator","CFIHOS-30000315","fluid name","CFIHOS-40000132",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"accumulator","CFIHOS-30000315","internal insulation type","CFIHOS-40000187",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","jacket normal operating pressure","CFIHOS-40000196",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","jacket normal operating temperature","CFIHOS-40000197",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","lower limit operating pressure","CFIHOS-40000556",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"accumulator","CFIHOS-30000315","lower limit operating temperature","CFIHOS-40000504","CEL","FAH",,,,"STANDARD","CR0032","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"accumulator","CFIHOS-30000315","minimum design metal temperature","CFIHOS-40000232",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","orientation","CFIHOS-40000561",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
