"tag class name","tag class CFIHOS unique ID","equipment class name","equipment class CFIHOS unique ID","reason for mapping","created date","modified date","terminated date","change request number","status"
"capacitor bank","CFIHOS-30000322","capacitor bank","CFIHOS-30000322",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"car","CFIHOS-30000011","car","CFIHOS-30000011",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"cathodic protection system","CFIHOS-30000730","anode","CFIHOS-30000317",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"cctv camera","CFIHOS-30000012","cctv camera","CFIHOS-30000012",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"centrifugal compressor","CFIHOS-30000520","centrifugal compressor","CFIHOS-30000520",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"centrifugal pump","CFIHOS-30000521","centrifugal pump","CFIHOS-30000521",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"centrifuge","CFIHOS-30000522","centrifuge","CFIHOS-30000522",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0013","STANDARD"
"chain","CFIHOS-30000596","chain","CFIHOS-30000596",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"chain conveyor","CFIHOS-30000563","chain conveyor","CFIHOS-30000563",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"chain hoist","CFIHOS-30000013","chain hoist","CFIHOS-30000013",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"chamber","CFIHOS-30000300","chamber","CFIHOS-30000300",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"check valve","CFIHOS-30000636","check valve","CFIHOS-30000636",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0028","TERMINATED"
"check valve","CFIHOS-30000636","piston check valve","CFIHOS-30000857",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"check valve","CFIHOS-30000636","swing check valve","CFIHOS-30000873",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"check valve","CFIHOS-30000636","wafer check valve","CFIHOS-30000876",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"net oil computer","CFIHOS-30000139","net oil computer","CFIHOS-30000139",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"subsea power and communication unit","CFIHOS-30000953","subsea power and communication unit","CFIHOS-30000953",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"subsea suction pile","CFIHOS-30000954","subsea suction pile","CFIHOS-30000954",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"UV sterilizer","CFIHOS-30000268","UV sterilizer","CFIHOS-30000268",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"absolute pressure transmitter","CFIHOS-30000395","absolute pressure transmitter","CFIHOS-30000395",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"absorber column","CFIHOS-30000800","absorber column","CFIHOS-30000800",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"accumulator","CFIHOS-30000315","accumulator","CFIHOS-30000315",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0013","STANDARD"
"acoustic enclosure","CFIHOS-30000878","acoustic enclosure","CFIHOS-30000878",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"acoustic enclosure","CFIHOS-30000878","hood","CFIHOS-30000537",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"actuator","CFIHOS-30000607","actuator","CFIHOS-30000607",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0028","TERMINATED"
"actuator","CFIHOS-30000607","electric actuator","CFIHOS-30000336",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"actuator","CFIHOS-30000607","hydraulic actuator","CFIHOS-30000433",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"actuator","CFIHOS-30000607","pneumatic actuator","CFIHOS-30000443",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"adaptor connector","CFIHOS-30000801","adaptor connector","CFIHOS-30000801",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"adsorber column","CFIHOS-30000802","adsorber column","CFIHOS-30000802",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"aerator","CFIHOS-30000515","aerator","CFIHOS-30000515",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"agitator","CFIHOS-30000102","agitator","CFIHOS-30000102",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0009","STANDARD"
"air balancing unit","CFIHOS-30000103","air balancing unit","CFIHOS-30000103",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"air circuit-breaker","CFIHOS-30000803","air circuit-breaker","CFIHOS-30000803",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"air conditioner","CFIHOS-30000382","air conditioner","CFIHOS-30000382",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"air cooled heat exchanger","CFIHOS-30000383","air cooled heat exchanger","CFIHOS-30000383",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"air handling unit","CFIHOS-30000104","air handling unit","CFIHOS-30000104",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"air trap","CFIHOS-30000879","pipe","CFIHOS-30000496",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"aircraft warning light","CFIHOS-30000880","strobe light","CFIHOS-30000922",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"alarm unit","CFIHOS-30000747","alarm unit","CFIHOS-30000747",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"alternating current generator","CFIHOS-30000804","alternating current generator","CFIHOS-30000804",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"alternating current motor","CFIHOS-30000805","alternating current motor","CFIHOS-30000805",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"amplifier","CFIHOS-30000316","amplifier","CFIHOS-30000316",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"analyser element","CFIHOS-30000105","analyser element","CFIHOS-30000105",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","cloud point analyser","CFIHOS-30000401",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","cold filter plugging point analyser","CFIHOS-30000019",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","colour analyser","CFIHOS-30000020",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014;FR74","TERMINATED"
"analysing instrument","CFIHOS-30000106","density analyser","CFIHOS-30000413",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","dew point analyser","CFIHOS-30000414",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","distillation analyser","CFIHOS-30000035",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","flash point analyser","CFIHOS-30000426",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","freezing point analyser","CFIHOS-30000068",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","gas chromatograph","CFIHOS-30000834",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","gas composition analyser","CFIHOS-30000074",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","gas liquid chromatograph","CFIHOS-30000835",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","humidity analyser","CFIHOS-30000088",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","liquid composition analyser","CFIHOS-30000120",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","multi property analyser","CFIHOS-30000137",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","ph analyser","CFIHOS-30000440",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","pour point analyser","CFIHOS-30000451",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","redox analyser","CFIHOS-30000206",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","solid composition analyser","CFIHOS-30000242",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","sound pressure level analyser","CFIHOS-30000245",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","specific gravity analyser","CFIHOS-30000248",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","thermal conductivity analyser","CFIHOS-30000477",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","vapour pressure analyser","CFIHOS-30000271",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","viscosity analyser","CFIHOS-30000489",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"analysing instrument","CFIHOS-30000106","wobbe index meter","CFIHOS-30000493",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"anchor","CFIHOS-30000510","anchor","CFIHOS-30000510",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"anemometer","CFIHOS-30000286","anemometer","CFIHOS-30000286",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"anode","CFIHOS-30000317","anode","CFIHOS-30000317",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"antenna","CFIHOS-30000397","antenna","CFIHOS-30000397",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"arrestor","CFIHOS-30000511","arrestor","CFIHOS-30000511",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"attenuator","CFIHOS-30000108","attenuator","CFIHOS-30000108",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"automatic identification system","CFIHOS-30000608","automatic identification system","CFIHOS-30000608",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"automatic switching equipment","CFIHOS-30000731","automatic switching equipment","CFIHOS-30000731",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"axial compressor","CFIHOS-30000516","axial compressor","CFIHOS-30000516",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"axial displacement element","CFIHOS-30000398","axial displacement element","CFIHOS-30000398",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"axial displacement transmitter","CFIHOS-30000109","axial displacement transmitter","CFIHOS-30000109",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"balancing damper","CFIHOS-30000110","balancing damper","CFIHOS-30000110",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"ball control valve","CFIHOS-30000806","ball control valve","CFIHOS-30000806",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"ball valve","CFIHOS-30000807","ball valve","CFIHOS-30000807",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"basin","CFIHOS-30000297","basin","CFIHOS-30000297",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"basket","CFIHOS-30000298","basket","CFIHOS-30000298",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"battery back-up power supply unit","CFIHOS-30000318","battery back-up power supply unit","CFIHOS-30000318",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"battery charger","CFIHOS-30000319","battery charger","CFIHOS-30000319",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
"beam","CFIHOS-30000571","beam","CFIHOS-30000571",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"beam clamp","CFIHOS-30000001","beam clamp","CFIHOS-30000001",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bearing","CFIHOS-30000517","bearing","CFIHOS-30000517",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bell","CFIHOS-30000399","bell","CFIHOS-30000399",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bell nipple","CFIHOS-30000668","pipe","CFIHOS-30000496",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"belt conveyor","CFIHOS-30000562","belt conveyor","CFIHOS-30000562",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bicycle","CFIHOS-30000002","bicycle","CFIHOS-30000002",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"blast rated wall","CFIHOS-30000609","blast rated wall","CFIHOS-30000609",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"block and bleed valve","CFIHOS-30000808","block and bleed valve","CFIHOS-30000808",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"blow down valve","CFIHOS-30000635","ball control valve","CFIHOS-30000806",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"blow down valve","CFIHOS-30000635","butterfly control valve","CFIHOS-30000809",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"blow down valve","CFIHOS-30000635","gate control valve","CFIHOS-30000837",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"blow down valve","CFIHOS-30000635","globe control valve","CFIHOS-30000839",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"blow down valve","CFIHOS-30000635","plug control valve","CFIHOS-30000859",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0011","STANDARD"
"blow out preventer","CFIHOS-30000003","blow out preventer","CFIHOS-30000003",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"blower","CFIHOS-30000518","blower","CFIHOS-30000518",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"boiler","CFIHOS-30000384","boiler","CFIHOS-30000384",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"brake","CFIHOS-30000519","brake","CFIHOS-30000519",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"break glass unit","CFIHOS-30000004","break glass unit","CFIHOS-30000004",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"breathing apparatus","CFIHOS-30000005","breathing apparatus","CFIHOS-30000005",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bridge","CFIHOS-30000006","bridge","CFIHOS-30000006",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bridge bearing","CFIHOS-30000936","bridge bearing","CFIHOS-30000936",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"buckle initiator","CFIHOS-30000610","buckle initiator","CFIHOS-30000610",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"bund wall","CFIHOS-30000611","bund wall","CFIHOS-30000611",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"buoy","CFIHOS-30000595","buoy","CFIHOS-30000595",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"bus duct","CFIHOS-30000612","bus duct","CFIHOS-30000612",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0012","STANDARD"
