"unit of measure code","unit of measure name","unit of measure symbol","unit of measure dimension code","measurement system code","CFIHOS unique id","synonym","created date","modified date","terminated date","change request number","status"
"AMP","ampere","A","ECURR",,"CFIHOS-60001427",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"AMH","ampere-hour","A.h","CHARGE",,"CFIHOS-60001428",,"2017-02-13T20:14:08.497Z","2020-11-30T08:13:46.930Z",,"CR0022;CR0025;CR0032","STANDARD"
"BRA","bar absolute","bar(a)","PRESS","SI","CFIHOS-60001430",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"BRG","bar gauge","bar(g)","PRESS","SI","CFIHOS-60001431",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"BAH","bar per hour","bar/h","PRESRT","SI","CFIHOS-60000216",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"C7","centipoise","cP","VISDYN","SI","CFIHOS-60001432",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"4C","centistokes","cSt","VISKIN","SI","CFIHOS-60001433",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"FTQ","cubic foot","ft³","VOLUME","Imperial","CFIHOS-60001439",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"2K","cubic foot per hour","ft³/h","VOLFLO","Imperial","CFIHOS-60001440",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"MTQ","cubic metre","m³","VOLUME","SI","CFIHOS-60001462",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"MQH","cubic metre per hour","m³/h","VOLFLO","SI","CFIHOS-60001463",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"MQS","cubic metre per second","m³/s","VOLFLO","SI","CFIHOS-60001464",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"DAY","day","d","TIME",,"CFIHOS-65000003",,"2021-09-29T09:18:19.089Z","2021-09-29T09:18:19.089Z",,"FR14;FR74","STANDARD"
"2N","decibel","dB","SOUND","SI","CFIHOS-60001434",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"CEL","degree celsius","°C","TEMP","SI","CFIHOS-60001435",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"FAH","degree fahrenheit","°F","TEMP","Imperial","CFIHOS-60001436",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"K43","electric horse power","electric hp","POWER",,"CFIHOS-65000001",,"2019-04-30T13:24:23.138Z","2019-06-28T12:09:09.344Z",,"CR0025","STANDARD"
"FAR","farad","F","CAPACI",,"CFIHOS-60001437",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"FOT","foot","ft","LENGTH","Imperial","CFIHOS-60001438",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"FS","foot per second","ft/s","SPEED","Imperial","CFIHOS-60001441",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"G2","gallon (US) per minute","gpm","VOLFLO","Imperial","CFIHOS-60001422",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"HTZ","hertz","Hz","FREQU",,"CFIHOS-60001443",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"HUR","hour","h","TIME",,"CFIHOS-60001445",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"INH","inch","in","LENGTH","Imperial","CFIHOS-60001446",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"N19","inch of water (60°f)","in H2O","PRESS","Imperial","CFIHOS-60000653",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"INK","inch squared","in²","SURFAC","Imperial","CFIHOS-60001447",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"kg/kJ","kg/kJ","kg/kJ",,"SI","CFIHOS-60000739",,"2019-03-06T10:03:24.828Z","2019-04-29T16:08:19.090Z","2019-04-29T16:08:19.090Z","CR0022;CR0025","TERMINATED"
"B22","kiloampere","kA","ECURR",,"CFIHOS-60001448",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"KGM","kilogram","kg","MASS","SI","CFIHOS-60001449",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"KMQ","kilogram per cubic metre","kg/m³","DENSI","SI","CFIHOS-60001451",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"E93","kilogram per hour","kg/h","MASFLO","SI","CFIHOS-60001450",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"KGS","kilogram per second","kg/s","MASFLO","SI","CFIHOS-60001452",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"B42","kilojoule per kilogram","kJ/kg","SPENER","SI","CFIHOS-60001453",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"B43","kilojoule per kilogram kelvin","kJ/(kg.K)","SPHCAP","SI","CFIHOS-60001454",,"2019-03-06T10:03:24.828Z","2020-11-30T08:13:46.930Z",,"CR0022;CR0025;CR0032","STANDARD"
"B47","kilonewton","kN","FORCE","SI","CFIHOS-60001455",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"KPB","kilopascal absolute","kPa(a)","PRESS","SI","CFIHOS-60000743",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"KPG","kilopascal gauge","kPa(g)","PRESS","SI","CFIHOS-60000744",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"KVT","kilovolt","kV","VOLTAG",,"CFIHOS-60001456",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"KVA","kilovolt-ampere","kVA","POWER",,"CFIHOS-60001457",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
