Source	Label	Uri	MatchSource	MatchLabel	MatchUri
ISO19008_PBS	Above ground storage	http://souslesens.org/iso19008/pbs/BACABA	ilap	Above Ground Storage	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BBAAA
ISO19008_PBS	Access from main road	http://souslesens.org/iso19008/pbs/BHA	ilap	Access from Main Road	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BCDA
ISO19008_COR	Accessories	http://souslesens.org/iso19008/cor/BEE	ilap	Accessories	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_BJG
ISO19008_COR	Accommodation ladders/gangways	http://souslesens.org/iso19008/cor/EVYV	ilap	Accommodation ladders/gangways	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_EVYV
ISO19008_SAB	Activities related to major assemblies	http://souslesens.org/iso19008/sab/423	ilap	Activities related to major assemblies	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/SAB_443
ISO19008_COR	Actuated doors	http://souslesens.org/iso19008/cor/EAAD	ilap	Actuated doors	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_EAAD
ISO19008_COR	Administration	http://souslesens.org/iso19008/cor/HBA	ilap	Administration	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_HBA
ISO19008_PBS	Administration buildings	http://souslesens.org/iso19008/pbs/BCBA	ilap	Administration Buildings	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BCBA
ISO19008_COR	Air conditioners	http://souslesens.org/iso19008/cor/EGGF	ilap	Air conditioners	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_EGGF
ISO19008_COR	Air cooled heat exchangers	http://souslesens.org/iso19008/cor/ERHC	ilap	Air cooled heat exchangers	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_ERHC
ISO19008_PBS	Air cooling	http://souslesens.org/iso19008/pbs/BABDC	ilap	Air Cooling	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BADC
ISO19008_COR	Air distribution header	http://souslesens.org/iso19008/cor/EJJA	ilap	Air distribution header	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_EJJA
ISO19008_COR	Air driven motors/starters	http://souslesens.org/iso19008/cor/ERDF	ilap	Air driven motors/starters	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_ERDF
ISO19008_COR	Air handling	http://souslesens.org/iso19008/cor/EGGA	ilap	Air handling	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_EGGA
ISO19008_PBS	Air systems	http://souslesens.org/iso19008/pbs/BABI	ilap	Air Systems	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BAI
ISO19008_COR	Alarm equipment	http://souslesens.org/iso19008/cor/EEEW	ilap	Alarm equipment	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_EEEW
ISO19008_PBS	Alkylation	http://souslesens.org/iso19008/pbs/BAAACI	ilap	Alkylation	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BKCI
ISO19008_COR	Ambulances	http://souslesens.org/iso19008/cor/ESSF	ilap	Ambulances	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_ESSF
ISO19008_PBS	Ammonia	http://souslesens.org/iso19008/pbs/BABHC	ilap	Ammonia	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BAHC
ISO19008_PBS	Anchor base/foundations	http://souslesens.org/iso19008/pbs/ABQCC	ilap	Anchor Base/Foundations	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_ABLCC
ISO19008_COR	Anchor pendant buoys	http://souslesens.org/iso19008/cor/EVYP	ilap	Anchor pendant buoys	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_EVYP
ISO19008_COR	Anchors	http://souslesens.org/iso19008/cor/EVYM	ilap	Anchors	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_EVYM
ISO19008_PBS	Anchors/piles	http://souslesens.org/iso19008/pbs/ABMFB	ilap	Anchors/Piles	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_ABPCB
ISO19008_COR	Anodes	http://souslesens.org/iso19008/cor/BMC	ilap	Anodes	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_BMC
ISO19008_COR	Architectural and building	http://souslesens.org/iso19008/cor/KC	ilap	Architectural and building	http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_KC
