line	table	item	code	propId	Name	Description	type	physicalQuantity	ListId	UnitCodeList	Priority	
604	133	 distribution	EP	1001	AC/DC	ACDCAC/DC				Codes	High	
771	153	Electrical submersible pumps	ESP	1002	Acceptable minimum bending rating	Power cable and MLE	PQ	length		Metres	High	
486	112	 Nozzles	NO	1003	Actuation	Specify	List		1079	Fusible bulb, solder, external	Medium	
453	109	 Valves	VA	1004	Actuation - closing	Type of actuation force	List		1061	Electrical, hydraulic, pneumatic, mechanical (spring), manual, combinations, none	Medium	
452	109	 Valves	VA	1005	Actuation - opening	Type of actuation force	List		1061	Electrical, hydraulic, pneumatic, mechanical (spring), manual, combinations, none	High	
451	109	 Valves	VA	1006	Actuation principle	Actuator operating principle	List		1152	Single-acting, double-acting, actuation by line/ process pressure, actuation by gravity	Medium	
162	54	 Cranes	CR	1007	A-frame height	Specify	PQ	length		Metres	Low	
97	42	 turbines	ST	1008	Air inlet filtration type	Type				Free text	Low	
135	48	 turbines	ST	1008	Air inlet filtration type	Type				Free text	Low	
12	29	 engines	CE	1009	Air-inlet filtration type	Type				Free text	Low	
326	83	 UPS	UP	1010	Ambient temperature	Operating temperature range				Minimum and maximum temperature in degrees Celsius	Low	
769	153	Electrical submersible pumps	ESP	1011	Ampacity coefficients	Power cable and MLE				Specify [numeric value]	High	
774	153	Electrical submersible pumps	ESP	1011	Ampacity coefficients	Pothead	PQ	electrical current / amperage		Amps	High	
849	167	 (BOP)	BO	1012	Annular preventers - manufacturer (and model)	Specify				Specify	High	
878	171	 (BOP)	BO	1012	Annular preventers - manufacturer (and model)	Specify				Specify	High	
850	167	 (BOP)	BO	1013	Annular preventers, pressure rating	Specify	PQ	pressure		Pascal (pounds per square inch)	High	
879	171	 (BOP)	BO	1013	Annular preventers, pressure rating	Specify	PQ	pressure		Pascal (pounds per square inch)	High	
272	74	 Turrets	TU	1014	Application	Main use	List		1067	External loading, external production/injection, internal loading, internal production/ injection	High	
315	83	 UPS	UP	1014	Application	What equipment the UPS is applied for	List		1033	Circuit breaker, control systems, safety systems, telecommunication	High	
378	93	 converters	FC	1014	Application	Where applied	List		1039	Compressor application, subsea, downhole, process, drilling, utility	High	
410	101	 devices	IP	1014	Application	Where applied	List		1138	Process control, emergency shutdown, process shutdown, pressure reduction, bypass, blowdown, monitoring, combined	High	
436	108	 Valves	VA	1014	Application	Specify function in the process	List		1008	Annulus (X-mas tree), blowdown, bypass, injection, X-over, Deluge, ESD, ESD/PSD, PSD, HIPPS, swab, wing, relief, control, choke	High	
468	112	 Nozzles	NO	1014	Application	Where in the process applied	List		1046	Deluge, sprinkler	High	
503	118	control	CS	1014	Application	Where used	List		1089	HIPPS, manifold, SSIV, pump, wellhead, X-mas tree, multi-purpose	Medium	
550	126	 Risers	PR	1014	Application	What type of platform	List		1074	Fixed, floating, buoy	Medium	
636	139	 pipelines	SL	1014	Application	Classify	List		1161	Subsea to onshoreSubsea intra-fieldOffshore facilities to onshoreIntercontinental export pipelinesExport lines to offloading	High	
906	180	 fixation	JF	1014	Application	Classify	List		1066	Exploration drillingProduction drilling/completion on subsea templateWell intervention on subsea templateProduction drilling/completion on wellhead platformWell intervention on wellhead platformService jack-up for AccommodationService jack-up for Heavy liftService jack-up for Geotechnical surveys	High	
428	104	 units	CL	1015	Application - control logic	Where used	List		1031	Centralized, distributed, man-machine interface	Medium	
104	45	 Pumps	PU	1016	Application - pump	Where applied	List		1023	Booster, supply, injection, transfer, lift, dosage, disperse, cooling, drilling, other	Medium	
591	130	 pumps	SP	1016	Application - pump	Where applied	List		1022	Booster, injection, active cooling	Medium	
522	122	 trees	XT	1017	Artificial lift well	Type of artificial lift in the well	List		1080	Gas lift, ESP, PCP, none	High	
783	156	Surface wellhead and X-mas trees	XD	1017	Artificial lift well	Type of artificial lift in the well	List		1080	Gas lift, ESP, PCP, none	High	
540	123	 trees	XT	1018	Asphaltenes	Specify	Bool			Yes/no	Low	
570	127	 Risers	PR	1018	Asphaltenes	Specify	Bool			Yes/no	Low	
632	136	 vessels	SV	1018	Asphaltenes	Specify	Bool			Yes/No	Low	
182	55	 Cranes	CR	1019	Automatic overload protection system (AOPS)	Installed or not	Bool			Yes/No	High	
492	115	 Lifeboats	LB	1020	Automatic release	Automatic release of lifeboat release hook	List		1115	No, Yes	Medium	
94	42	 turbines	ST	1021	Backup starting system	Specify if relevant	List		1059	Electric, hydraulic, pneumatic	Low	
133	48	 turbines	ST	1021	Backup starting system	Specify if relevant	List		1059	Electric, hydraulic, pneumatic	Low	
330	83	 UPS	UP	1022	Battery backup time	The time during which the battery can supply rated output power to the inverter	PQ	time		Minutes	Medium	
334	84	 UPS	UP	1023	Battery earth-fault monitoring	Specify				Common, individual, N.A.	Low	
332	83	 UPS	UP	1024	Battery technology	Type of	List		1112	NiCd, Pb-acid, other	Medium	
121	45	 Pumps	PU	1025	Bearing support	Type	List		1134	Overhung, between bearings, pump casing, split sleeve	Low	
229	65	 vessels	VE	1026	Body material	Specify type or code				Free text	Low	
626	136	 vessels	SV	1026	Body material	Specify type or code				Free text	Low	
32	33	 Compressors	CO	1027	Body type	Type	List		1170	Vertical split case (barrel type), axial split case	Low	
112	45	 Pumps	PU	1027	Body type	Barrel, split casing, etc.	List		1016	Barrel, split case, axial split, cartridge,	Low	
169	54	 Cranes	CR	1028	Boom total weight	Specify	PQ	weight		Metric tonnes	Low	
164	54	 Cranes	CR	1029	Boom, max. angle	Specify	PQ	degrees		Degrees	Low	
163	54	 Cranes	CR	1030	Boom, min. angle	Specify	PQ	degrees		Degrees	Low	
834	166	 (BOP)	BO	1031	BOP manufacturer/supplier	Specify				Free text	High	
867	170	 (BOP)	BO	1031	BOP manufacturer/supplier	Specify				Free text	High	
493	115	 Lifeboats	LB	1032	Breathing air capacity	Breathing air capacity	PQ	time		Minutes	Medium	
494	115	 Lifeboats	LB	1033	Breathing air system	Breathing air system?	List		1115	No, Yes	High	
150	51	 expanders	TE	1034	Casing-split type	Type	List		1093	Horizontal/vertical	Low	
413	101	 devices	IP	1035	Category	Main category	List		1165	Transmitter, transducer, switch, pushbutton	High	
857	167	 (BOP)	BO	1036	Choke-and-kill valve - manufacturer (and model)	Specify				Specify	Medium	
884	171	 (BOP)	BO	1036	Choke-and-kill valve - manufacturer (and model)	Specify				Specify	Medium	
683	145	(TR-SCSSV	TR-SCSSV	1037	Closure principle		List		1015	BallFlapper (conventional)Flapper (curved)PoppetOtherUnknown	Medium	
710	147	 DHSV/WRSCSSV	WR-SCSSV	1037	Closure principle		List		1015	BallFlapper (conventional)Flapper (curved)PoppetOtherUnknown	Medium	
429	104	 units	CL	1038	CLU redundancy configuration	Specify if there are redundant Control logic units (CLUs) installed	Bool			Yes/No	Low	
557	127	 Risers	PR	1039	Coating	External and internal				Specify	Low	
16	32	 Compressors	CO	1040	Compressed medium	Gas or air compressor	List		1081	Gas, air	High	
770	153	Electrical submersible pumps	ESP	1041	Conductor Size	Power cable and MLE	PQ	length		Millimetres	High	
