EquipmentUnit	Bundary	Component	ComponentId
Risers	Accessories	Bend restrictor	Bend restrictor
Risers	Accessories	Buoyancy device	Buoyancy device
Risers	Accessories	J/I-tube seal	J/I-tube seal
Risers	Accessories	Stabilizing and guiding equipment	Stabilizing and guiding equipment
Risers	Accessories	Tension- and motion-compensation equipment	Tension- and motion-compensation equipment
Gas turbines	Accessory drive	Bearing	Bearing
Gas turbines	Accessory drive	Casing	Casing
Gas turbines	Accessory drive	Gearbox	Gearbox
Gas turbines	Accessory drive	Seals	Seal
Gas turbines	Air intake	Air cooling	Air cooling
Gas turbines	Air intake	Anti-icing	Anti-icing
Gas turbines	Air intake	Filters	Filter
Gas turbines	Air intake	Inlet vanes	Inlet vane
Gas turbines	Air intake	Intake duct	Intake duct
Control logic units	Analog output cards	(X-wiring)	(X-wiring)
Control logic units	Analog output cards	Connec-	Connec-
Control logic units	Analog output cards	Output card	Output card
Control logic units	Analog output cards	Relay	Relay
Control logic units	Analog output cards	tion unit 	tion unit
Valves	Analog output cards	Indicator	Indicator
Valves	Analog output cards	Instrument, general	Instrument, general
Valves	Analog output cards	Instrument, position	Instrument, position
Valves	Analog output cards	Internal power supply	Internal power supply
Valves	Analog output cards	Limit switch	Limit switch
Valves	Analog output cards	Monitoring	Monitoring
Valves	Analog output cards	Pilot valve c	Pilot valve c
Valves	Analog output cards	Quick exhaust dump valve	Quick exhaust dump valve
Valves	Analog output cards	Solenoid valve	Solenoid valve
Valves	Analog output cards	Valves	Valve
Valves	Analog output cards	Wiring	Wiring
Subsea blowout preventers (BOP)	Backup control	Accumulators	Accumulator
Subsea blowout preventers (BOP)	Backup control	Battery	Battery
Subsea blowout preventers (BOP)	Backup control	Hot stab	Hot stab
Subsea blowout preventers (BOP)	Backup control	Pilot valves	Pilot valve
Subsea blowout preventers (BOP)	Backup control	ROV intervention panel	ROV intervention panel
Subsea blowout preventers (BOP)	Backup control	ROV operated	ROV operated
Subsea blowout preventers (BOP)	Backup control	Shuttle valves	Shuttle valve
Subsea blowout preventers (BOP)	Backup control	Shuttle valves	Shuttle valve
Subsea blowout preventers (BOP)	Backup control	Solenoid valves	Solenoid valve
Subsea blowout preventers (BOP)	Backup control	Subsea control unit	Subsea control unit
Subsea blowout preventers (BOP)	Backup control	Subsea	Subsea
Subsea blowout preventers (BOP)	Backup control	Surface control unit	Surface control unit
Subsea blowout preventers (BOP)	Backup control	Transducers	Transducer
Subsea blowout preventers (BOP)	Backup control	Transducers Surface	Transducers Surface
Subsea blowout preventers (BOP)	Backup control	Valves, ROV operated shut-off	Valves, ROV operated shut-off
Subsea pumps	Barrier fluid	Accumulator	Accumulator
Subsea pumps	Barrier fluid	Cooling	Cooling
Subsea pumps	Barrier fluid	Filter	Filter
Subsea pumps	Barrier fluid	Hydraulic coupling	Hydraulic coupling
Subsea pumps	Barrier fluid	Lubrication oil	Lubrication oil
Subsea pumps	Barrier fluid	Lubrication oil pump incl. driver	Lubrication oil pump incl. driver
Subsea pumps	Barrier fluid	Piping	Piping
Subsea pumps	Barrier fluid	Reservoir	Reservoir
Subsea pumps	Barrier fluid	Valve, check	Valve, check
UPS	Bypass unit	Bypass switch	Bypass switch
UPS	Bypass unit	Bypass transformer	Bypass transformer
UPS	Bypass unit	Contactor feeder a Fuse	Contactor feeder a Fuse
UPS	Bypass unit	Instrument	Instrument
UPS	Bypass unit	Static switch	Static switch
Combustion engines	Combustion engine unit	Air inlet	Air inlet
Combustion engines	Combustion engine unit	Cylinders	Cylinder
Combustion engines	Combustion engine unit	Exhaust	Exhaust
Combustion engines	Combustion engine unit	Fuel filters	Fuel filter
Combustion engines	Combustion engine unit	Fuel pumps	Fuel pump
Combustion engines	Combustion engine unit	Ignition system	Ignition system
Combustion engines	Combustion engine unit	Injectors	Injector
Combustion engines	Combustion engine unit	Piping	Piping
Combustion engines	Combustion engine unit	Pistons	Piston
Combustion engines	Combustion engine unit	Radial bearing	Radial bearing
