system	superClass	id	label1	label2
Safety and Control	EC	EC-ACC	EC-ACC	Access Control Reader
Safety and Control	TC	TC-ANT	TC-ANT	Antenna
Safety and Control	EC	EC-BER	EC-BER	Berthing aid system
Rotating	BL	BL-AX	BL-AX	Blowers and fans - Axial
Rotating	BL	BL-BL	BL-BL	Blowers and fans - Blower
Rotating	BL	BL-CE	BL-CE	Blowers and fans - Centrifugal
Rotating	CF	CF-CE	CF-CE	Centrifuges - Centrifugal Separator
Marine	AM	AM-CS	AM-CS	Chain stopper OLT / Turret
Marine	AM	AM-PS	AM-PS	Combined Windlass and Mooring Winch
Rotating	CE	CE-DE	CE-DE	Combustion engines - Diesel engine
Rotating	CE	CE-GE	CE-GE	Combustion engines - Otto (gas) engine
Rotating	CE	CE-AIR	CE-AIR	Compressed Air Engine
Rotating	CO	CO-AX	CO-AX	Compressors - Axial
Rotating	CO	CO-CE	CO-CE	Compressors - Centrifugal
Rotating	CO	CO-RE	CO-RE	Compressors - Reciprocating
Rotating	CO	CO-SC	CO-SC	Compressors - Screw
Safety and Control	CL	CL-PC	CL-PC	Control logic units - Computer
Safety and Control	CL	CL-DC	CL-DC	Control logic units - Distributed control unit
Safety and Control	CL	CL-PA	CL-PA	Control logic units - Programmable automation controller (PAC)
Safety and Control	CL	CL-LC	CL-LC	Control logic units - Programmable logic controller (PLC)
Safety and Control	CL	CL-RL	CL-RL	Control logic units - Relay
Safety and Control	CL	CL-SL	CL-SL	Control logic units - Single-loop controller
Safety and Control	CL	CL-SS	CL-SS	Control logic units - Solid state
Mechanical	CV	CV-CV	CV-CV	Conveyors and elevators - Conveyor
Mechanical	CV	CV-GT	CV-GT	Conveyors and elevators - Static & Equiped Monorail (Incl. Gantry...)
Mechanical	CR	CR-DO	CR-DO	Cranes - Diesel hydraulic operated
Mechanical	CR	CR-HO	CR-HO	Cranes - Electro-hydraulic operated
Safety and Control	ER	ER-DSD	ER-DSD	Descent to Sea Device
Well Completion	WE	WE-TR	WE-TR	Downhole well completion - Tubing-retrievable, surface-controlled subsurface safety valve (TR-SCSSV)
Well Completion	WE	WE-WR	WE-WR	Downhole well completion - Wireline-retrievable (WR) type DHSV/WR-SCSSV
Rotating	EG	EG-MD	EG-MD	Electric generators - Engine driven, e.g. diesel engine, gas engine
Rotating	EG	EG-TD	EG-TD	Electric generators - Gas-turbine driven
Rotating	EG	EG-SD	EG-SD	Electric generators - Steam-turbine driven
Rotating	EG	EG-TE	EG-TE	Electric generators - Turboexpander
Rotating	EM	EM-AC	EM-AC	Electric motors - Alternating current
Rotating	EM	EM-DC	EM-DC	Electric motors - Direct current
Well Completion	ESP	ESP-AC	ESP-AC	Electrical submersible pumps - Alternative current
Well Completion	ESP	ESP-CE	ESP-CE	Electrical submersible pumps - Centrifugal
Well Completion	ESP	ESP-RO	ESP-RO	Electrical submersible pumps - Rotary
Safety and Control	ER	ER-ESC	ER-ESC	Escape routes and access ways
Safety and Control	LB	LB-FRC	LB-FRC	Fast Rescue Boat (FRC)
Mechanical	FS	FS-AIR	FS-AIR	Filters and strainers - Air Filter
Mechanical	FS	FS-CRT	FS-CRT	Filters and strainers - Cartridge Filter
Mechanical	FS	FS-CRS	FS-CRS	Filters and strainers - Coarse Filter
Mechanical	FS	FS-DPX	FS-DPX	Filters and strainers - Duplex Filter
Mechanical	FS	FS-MBN	FS-MBN	Filters and strainers - Membrane Filter
Mechanical	FS	FS-SCN	FS-SCN	Filters and strainers - Screen Filter
Mechanical	FS	FS-MSH	FS-MSH	Filters and strainers - Strainer Filter
Safety and Control	FG	FG-BF	FG-BF	Fire and gas detectors - Flame
Safety and Control	FG	FG-BH	FG-BH	Fire and gas detectors - Heat
Safety and Control	FG	FG-AB	FG-AB	Fire and gas detectors - Hydrocarbon
Safety and Control	FG	FG-BM	FG-BM	Fire and gas detectors - Manual pushbutton
Safety and Control	FG	FG-BA	FG-BA	Fire and gas detectors - Others
Safety and Control	FG	FG-BS	FG-BS	Fire and gas detectors - Smoke/Combustion
Safety and Control	FG	FG-AS	FG-AS	Fire and gas detectors - Toxic gases
Safety and Control	FF	FF-EXT	FF-EXT	Fire Extinguisher
Safety and Control	FF	FF-HD	FF-HD	Fire Hydrant
Safety and Control	FF	FF-MN	FF-MN	Fire Monitor
Safety and Control	FF	FF-WAT	FF-WAT	Fire Water System (Ring)
Safety and Control	ER	ER-FIQ	ER-FIQ	Fireman Equipment
Safety and Control	TC	TC-FIX	TC-FIX	Fix Transmitter Receiver
Safety and Control	FI	FI-FL	FI-FL	Flare ignition - Flare Structure
Utilities	FE	FE-BR	FE-BR	Flare ignition equipment - Burner Flare
Safety and Control	FF	FF-FM	FF-FM	Foam Package
Electrical	FC	FC-HV	FC-HV	Frequency converters - High voltage
Electrical	FC	FC-LV	FC-LV	Frequency converters - Low voltage
Safety and Control	FF	FF-CAB	FF-CAB	Fully equipped fire cabinets
Rotating	GT	GT-AD	GT-AD	Gas turbines - Aero-derivative
Rotating	GT	GT-HD	GT-HD	Gas turbines - Heavy duty
Rotating	GT	GT-IN	GT-IN	Gas turbines - Industrial
Mechanical	HE	HE-AC	HE-AC	Heat exchangers - Air-cooled
Mechanical	HE	HE-BY	HE-BY	Heat exchangers - Bayonet
Mechanical	HE	HE-DP	HE-DP	Heat exchangers - Double pipe
Mechanical	HE	HE-P	HE-P	Heat exchangers - Plate
Mechanical	HE	HE-PF	HE-PF	Heat exchangers - Plate fin
Mechanical	HE	HE-PC	HE-PC	Heat exchangers - Printed circuit
Mechanical	HE	HE-ST	HE-ST	Heat exchangers - Shell and tube
Mechanical	HE	HE-S	HE-S	Heat exchangers - Spiral
Mechanical	HE	HE-SW	HE-SW	Heat exchangers - Spiral-wound
Mechanical	HB	HB-DF	HB-DF	Heaters and boilers - Direct-fired heater
Mechanical	HB	HB-EB	HB-EB	Heaters and boilers - Electric boiler
Mechanical	HB	HB-EH	HB-EH	Heaters and boilers - Electric heater
Mechanical	HB	HB-FB	HB-FB	Heaters and boilers - HC-fired boiler
Mechanical	HB	HB-HT	HB-HT	Heaters and boilers - Heater treater
Mechanical	HB	HB-IF	HB-IF	Heaters and boilers - Indirect HC-fired heater
