part-14-from	from	description	prop	to	part14-to
part14:Quality	Man-hours	Gather all information useful for maanagement information and decision on a daily basis	part14:hasQuality	Daily progress report	part14:InformationObject
part14:Quality	Man-hours planned	Forecast the personnel mobilisation in time   within a contract scope of work. 	part14:hasQuality	Mobilization Plan	part14:RealizableEntity
part14:RealizableEntity	Baseline planning	Forecast the  amount of man-hour will be necessary to achieve the plan. 	part14:hasQuality	Planned Man hours	part14:Quality
part14:RealizableEntity	contractual variation	dedicate a service to manage the cost matter	part14:hasQuality	Cost	part14:Quality
part14:RealizableEntity	HSE management plan	measure the overall amount of man-hour worked within a project perimeter. 	part14:hasQuality	Actual manhours	part14:Quality
part14:Location	country	Gather all the working and non working days in a document in order to plan the activities 	part14:occursRelativeTo	Calendar	part14:Event
part14:Thing	exhibits	Document that rule the contractual relationship between company and à contractor.	part14:any	Contract	part14:RealizableEntity
part14:Thing	interface	Keep track of all the interfaces open or closed between two contractors.	part14:any	interface register	part14:InformationObject
part14:FunctionalObject	facilities	Breaddown the installation  in a manner that allow a logical follow up of activities. 	part14:functionalPartOf	Systems / sub  systems	part14:System
part14:RealizableEntity	Contract	install facilities that are required only for the duration of the construction phase and that will be decommissioned at the end of the project (workers accomodations and offices, storages zone, …)	part14:hasFunctionalPart	Temporary facilities	part14:FunctionalObject
part14:RealizableEntity	Contractual strategy	Order directly some pieces of equipment to optimize the cost/planning and limit project risksaccording to the contract styrategie.	part14:hasFunctionalPart	Company provided items	part14:FunctionalObject
part14:RealizableEntity	Contractual strategy	Breakdown all the project task in a logical way that allows  the progress mesurement and a gate system	part14:hasFunctionalPart	WBS	part14:System
part14:FunctionalObject	equipment	Resquest the contractor to provide the project with som pices of equipment. 	part14:hasFunctionalPart	Contractors provided items	part14:FunctionalObject
part14:FunctionalObject	material take off	Resquest the contractor to provide the project with som pices of equipment. 	part14:hasFunctionalPart	Contractors provided items	part14:FunctionalObject
part14:RealizableEntity	Mobilization Plan	install facilities that are required only for the duration of the construction phase and that will be decommissioned at the end of the project (workers accomodations and offices, storages zone, …)	part14:hasFunctionalPart	Temporary facilities	part14:FunctionalObject
part14:Organization	Company	Document that rule the contractual relationship between company and à contractor.	part14:hasInterestIn	Contract	part14:RealizableEntity
part14:Organization	Contractor	Resquest the contractor to provide the project with som pices of equipment. 	part14:hasInterestIn	Contractors provided items	part14:FunctionalObject
part14:Organization	Contractor	Agree a variation in the contract between company and contractor and formalize the impact on cost, planning, scope of work.	part14:hasInterestIn	Contract Actual variation 	part14:InformationObject
part14:Organization	Contractor	claim the completion of a piece of work rewarded by an agree amount of money.	part14:hasInterestIn	Invoice	part14:InformationObject
part14:Organization	Contractor	Agree with the contractor the use of sub contractors to exectute part of the scope of work such as specialities. 	part14:hasInterestIn	Sub Contractor	part14:Organization
part14:Organization	Contractor	Document that rule the contractual relationship between company and à contractor.	part14:hasInterestIn	Contract	part14:RealizableEntity
part14:Organization	vendor	Formalise and engage with a vendor an agreed delivery of a piece of equipment that can be on the shelf or fabricated.	part14:hasInterestIn	Purchase Order	part14:InformationObject
part14:InformationObject	3D Model	Represent the asset's state  in digitalized 3D based on a timeline.	part14:hasPart	4D plan	part14:InformationObject
part14:InformationObject	3D model	Summarize the material requirement within a  P&ID or plot plan.	part14:hasPart	Material Take off	part14:InformationObject
part14:RealizableEntity	Actual planning	determine what would be the progress in the futur according to the current progress trend. 	part14:hasPart	Forecast plan	part14:RealizableEntity
