"CHR_OBJECT"	"OBJ_CLASS"	"OBJ_STATUS"	"OBJ_USER_STATUS"	"CHR_CHAR"	"CHR_VALUE"
"400075019"	"ZMOG_EQUI_APUE"	"INST"	""	"ELET"	"DIAPHRAGM AND O-RING"
"400075057"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075040"	"ZMOG_EQUI_ASDT"	"INST"	""	"BODM"	"PLASTIC"
"400075040"	"ZMOG_EQUI_ASDT"	"INST"	""	"SIOU"	"100 MICRO TO 100MA"
"400075040"	"ZMOG_EQUI_ASDT"	"INST"	""	"DIM"	"112 X 136MM"
"400075044"	"ZMOG_EQUI_APUE"	"INST"	""	"BABM"	"CS"
"400075047"	"ZMOG_EQUI_APUE"	"INST"	""	"BABM"	"CS"
"400075066"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075075"	"ZMOG_EQUI_AILU"	"INST"	""	"RV"	"220 - 254 V +/- 10%"
"400075075"	"ZMOG_EQUI_AILU"	"INST"	""	"TYPE"	"2X36 W BI PINS LAMPS WITH G13"
"400075095"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075092"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075123"	"ZMOG_EQUI_ATIN"	"INST"	""	"BABM"	"304SST /"
"400075123"	"ZMOG_EQUI_ATIN"	"INST"	""	"ELET"	"STEM"
"400075131"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075136"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075147"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075144"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075142"	"ZMOG_EQUI_AEL5"	"INST"	""	"NOP"	"5"
"400075142"	"ZMOG_EQUI_AEL5"	"INST"	""	"CABG"	"2 X M40"
"400075143"	"ZMOG_EQUI_AILU"	"INST"	""	"RV"	"220 - 254 V +/- 10%"
"400075143"	"ZMOG_EQUI_AILU"	"INST"	""	"TYPE"	"2X36 W BI PINS LAMPS WITH G13"
"400075152"	"ZMOG_EQUI_APTC"	"INST"	""	"BABM"	"316 SST"
"400075152"	"ZMOG_EQUI_APTC"	"INST"	""	"ENCPK"	"IP55"
"400075181"	"ZMOG_EQUI_AHAW"	"INST"	""	"CAPS"	"1100 KV AR"
"400075181"	"ZMOG_EQUI_AHAW"	"INST"	""	"DIM"	"1905 X 1372 X 320 MM"
"400075181"	"ZMOG_EQUI_AHAW"	"INST"	""	"ORDN"	"DUC 7000"
"HWAA-PA-14177_13"	"ZMOG_FLOC_PPAS"	"CRTE"	"APPR"	"AMPC"	"AMP 5"
"HWAA-PA-14178_4"	"ZMOG_FLOC_PPAS"	"CRTE"	"APPR"	"AMPC"	"AMP 5"
"HWAA-PA-14178_4"	"ZMOG_FLOC_PPAS"	"CRTE"	"APPR"	"SYCO"	"LOOP B1"
"SA-JMJ-14361_08"	"ZMOG_FLOC_PPAS"	"CRTE"	"APPR"	"WATA"	"-"
"SA-ZSC-33021"	"ZMOG_FLOC_PZS"	"CRTE"	"APPR"	"CSJB"	"JBJ-30004"
"HWAA-PA-14172_5"	"ZMOG_FLOC_PPAS"	"CRTE"	"APPR"	"AMPC"	"AMP 5"
"SKCZ-L-18824_4"	"ZMOG_FLOC_PFIX"	"CRTE"	"APPR"	"AREC"	"SAFE AREA"
"400075172"	"ZMOG_EQUI_ATIN"	"INST"	""	"ELED"	"12"""
"400075222"	"ZMOG_EQUI_ALTD"	"INST"	""	"PCON"	"FLANGED/2"" ANSI/150 LBS-RF"
"400075246"	"ZMOG_EQUI_AZSE"	"INST"	""	"ENCPK"	"IP67"
"400075255"	"ZMOG_EQUI_AZSE"	"INST"	""	"ORDN"	"PE 339-00-J744"
"400075255"	"ZMOG_EQUI_AZSE"	"INST"	""	"ENCPK"	"IP 68"
"400075252"	"ZMOG_EQUI_AEJB"	"INST"	""	"DIM"	"306 X 306 X 150"
"400075252"	"ZMOG_EQUI_AEJB"	"INST"	""	"WEI"	"7 KG"
"400075252"	"ZMOG_EQUI_AEJB"	"INST"	""	"HOMA"	"STANLESS STEEL"
"400075260"	"ZMOG_EQUI_AEL"	"INST"	""	"SUPD"	"24 V DC"
"400075260"	"ZMOG_EQUI_AEL"	"INST"	""	"BODM"	"ST. ST. 316"
"400075262"	"ZMOG_EQUI_AZSE"	"INST"	""	"ENCPK"	"IP67"
"400075332"	"ZMOG_EQUI_AILU"	"INST"	""	"RV"	"220 - 254 V +/- 10%"
"400075332"	"ZMOG_EQUI_AILU"	"INST"	""	"TYPE"	"2X36 W BI PINS LAMPS WITH G13"
"400075293"	"ZMOG_EQUI_ALOU"	"INST"	""	"ENC"	"IP 66 & IP 67"
"400075293"	"ZMOG_EQUI_ALOU"	"INST"	""	"MAT"	"GRP"
"400075293"	"ZMOG_EQUI_ALOU"	"INST"	""	"CERT"	"BAS00ATEX2097X"
"400075331"	"ZMOG_EQUI_APUE"	"INST"	""	"SUPD"	"24 VDC"
"400075334"	"ZMOG_EQUI_ALIG"	"INST"	""	"BABM"	"CS"
"400075334"	"ZMOG_EQUI_ALIG"	"INST"	""	"VDV"	"CONNS 0.75 X 0.5 INCH NPT"
"400075343"	"ZMOG_EQUI_AILU"	"INST"	""	"RV"	"220 - 254 V +/- 10%"
"400075343"	"ZMOG_EQUI_AILU"	"INST"	""	"TYPE"	"2X36 W BI PINS LAMPS WITH G13"
"400075337"	"ZMOG_EQUI_AEL3"	"INST"	""	"NOP"	"1P +N + PE"
"400075360"	"ZMOG_EQUI_APIN"	"INST"	""	"DIAL"	"39 MM/WHITE W. BLACK & RED NO"
"400075357"	"ZMOG_EQUI_ALIG"	"INST"	""	"ELET"	"JERGUSON FLAT GLAS GAUG"
"400075383"	"ZMOG_EQUI_ASOV"	"INST"	""	"ENCPK"	"IP67"
"400075395"	"ZMOG_EQUI_AEL5"	"INST"	""	"RC"	"32 A"
"400075395"	"ZMOG_EQUI_AEL5"	"INST"	""	"RV"	"UP TO 660V AC"
"400075393"	"ZMOG_EQUI_AHVP"	"INST"	""	"PROCL"	"IP 21"
"400075393"	"ZMOG_EQUI_AHVP"	"INST"	""	"TALA"	"NA"
"400075393"	"ZMOG_EQUI_AHVP"	"INST"	""	"RCS"	"1443 AMP"
"400075393"	"ZMOG_EQUI_AHVP"	"INST"	""	"TCLA"	"F"
"400075456"	"ZMOG_EQUI_ALST"	"INST"	""	"OER1"	"MAIN LIGHT INTENSITY: 19800 CD"
"400075537"	"ZMOG_EQUI_ASOV"	"INST"	""	"ENCPK"	"IP67"
"400075549"	"ZMOG_EQUI_AMLP"	"INST"	""	"WEI"	"44 KG"
"400075563"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075576"	"ZMOG_EQUI_ACOE"	"INST"	""	"SUPP"	"400V"
"400075576"	"ZMOG_EQUI_ACOE"	"INST"	""	"ACC1"	"NA"
"400075576"	"ZMOG_EQUI_ACOE"	"INST"	""	"RA2"	"0-100%INP VOLT/0-120%OUTP FREQ"
"400075566"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075594"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400075593"	"ZMOG_EQUI_APTC"	"INST"	""	"DIM"	"180X105X81MM"
"400075593"	"ZMOG_EQUI_APTC"	"INST"	""	"DES"	"0-1000 BARG"
"400075588"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"HBDC-GPA-0182002"	"ZMOG_FLOC_PGPA"	"CRTE"	"APPR"	"CSCPE"	"FIRE & GAS MARSHALLING CABINET"
"HBDC-GPA-0182001"	"ZMOG_FLOC_PGPA"	"CRTE"	"APPR"	"CSCPE"	"FIRE & GAS MARSHALLING CABINET"
"GOFD-SOV-57263"	"ZMOG_FLOC_PSOV"	"CRTE"	"APPR"	"CSCPE"	"GOFC-CP-0208/JBJ-75771"
"GEA-XJB-1503_1"	"ZMOG_FLOC_PJB"	"CRTE"	"APPR"	"ENC"	"ENCLOSURE: IP 65"
"HBDC-PB-0282201"	"ZMOG_FLOC_PPB"	"CRTE"	"APPR"	"NTOC"	"SPDT"
"HBDC-PB-0282201"	"ZMOG_FLOC_PPB"	"CRTE"	"APPR"	"ZB"	"SAFE AREA"
"HBDC-PB-0282201"	"ZMOG_FLOC_PPB"	"CRTE"	"APPR"	"ENC"	"IP 65 MIN"
"HBDC-R-0182102"	"ZMOG_FLOC_PGPA"	"CRTE"	"APPR"	"CSCPE"	"FIRE & GAS MARSHALLING CABINET"
"HBDC-PSL-0483803C"	"ZMOG_FLOC_PPS"	"CRTE"	"APPR"	"ZB"	"--"
"HBDC-PSL-0483803C"	"ZMOG_FLOC_PPS"	"CRTE"	"APPR"	"OER2"	"MODEL: PYROPRESS PI541"
"400074455"	"ZMOG_EQUI_ASDT"	"INST"	""	"RS"	"INFARED BEAM DETECTOR"
"400074455"	"ZMOG_EQUI_ASDT"	"INST"	""	"DES"	"-25	C / +50	C"
"400074457"	"ZMOG_EQUI_AHPR"	"INST"	""	"ENCK"	"NON EX"
"400074487"	"ZMOG_EQUI_ATIN"	"INST"	""	"OER"	"FLG RAT.THERMOWELL 2"" 300RF"
"400074533"	"ZMOG_EQUI_ATIN"	"INST"	""	"CONNX"	"1/2"" NPT"
"400074533"	"ZMOG_EQUI_ATIN"	"INST"	""	"ORDN"	"PE 231580"
"400074533"	"ZMOG_EQUI_ATIN"	"INST"	""	"BABM"	"316 SST"
"400074520"	"ZMOG_EQUI_AFTM"	"INST"	""	"SUPD"	"24 VDC"
"400074506"	"ZMOG_EQUI_ADFG"	"INST"	""	"DIMC"	"200 MM FLANGE"
"400074506"	"ZMOG_EQUI_ADFG"	"INST"	""	"MACA"	"AISI 316L 4 MM"
"400074535"	"ZMOG_EQUI_ACMG"	"INST"	""	"ELC"	"15V / 20 MA / 3 WIRE"
"400074535"	"ZMOG_EQUI_ACMG"	"INST"	""	"SUVO"	"24V DC"
"400074580"	"ZMOG_EQUI_AEXP"	"INST"	""	"WEI"	"SHIPPING WEIGHT 103 KG"
"400074576"	"ZMOG_EQUI_AJB"	"INST"	""	"ENCK"	"IP67"
"400074635"	"ZMOG_EQUI_AZSE"	"INST"	""	"ELED"	"40 X OD18"
"400074615"	"ZMOG_EQUI_AFRM"	"INST"	""	"ORDN"	"RFA-5-29-01"
"400074617"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400074596"	"ZMOG_EQUI_AZSE"	"INST"	""	"ENCPK"	"IP 68"
"400074623"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400074632"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400074643"	"ZMOG_EQUI_AJB"	"INST"	""	"ENCK"	"IP67"
"400074671"	"ZMOG_EQUI_AJB"	"INST"	""	"DIM"	"85 X 85 X 77,5 MM"
"400074673"	"ZMOG_EQUI_AMLP"	"AVLB"	""	"ENCPE"	"EEX DE IIB T4"
"400074673"	"ZMOG_EQUI_AMLP"	"AVLB"	""	"FLC"	"42 AMP"
"400074648"	"ZMOG_EQUI_AZSE"	"INST"	""	"ELED"	"40 X OD18"
"400074681"	"ZMOG_EQUI_AJB"	"INST"	""	"ENCK"	"IP67"
"400074702"	"ZMOG_EQUI_AXTE"	"INST"	""	"SUPD"	"24 VDC"
"400074753"	"ZMOG_EQUI_AZSE"	"INST"	""	"ENCPK"	"IP67"
"400074782"	"ZMOG_EQUI_AZSE"	"INST"	""	"SUPP"	"24VDC"
"400074877"	"ZMOG_EQUI_APIN"	"INST"	""	"LM"	"LAMINATED GLASS"
"400074877"	"ZMOG_EQUI_APIN"	"INST"	""	"ORDN"	"PE 231580"
"400074907"	"ZMOG_EQUI_AILU"	"INST"	""	"EXCA"	"EE EXDM IIC T5"
"400074909"	"ZMOG_EQUI_AZSE"	"INST"	""	"SUPP"	"5 - 25V DC"
"400074909"	"ZMOG_EQUI_AZSE"	"INST"	""	"DIM"	"OD X L = 12 X 50 MM"
"400074971"	"ZMOG_EQUI_AXTP"	"INST"	""	"RAZE"	"SPAN 70 TO 250 	F / EXTERNAL"
"400074971"	"ZMOG_EQUI_AXTP"	"INST"	""	"ELED"	"4"""
"400074948"	"ZMOG_EQUI_ATXP"	"INST"	""	"EXPR"	"EEX AI IIC T4/T5"
"400074948"	"ZMOG_EQUI_ATXP"	"INST"	""	"ACC25"	"0,025%"
"400075041"	"ZMOG_EQUI_APIN"	"INST"	""	"CONNX"	"NPT/1/4""/BOTTOM LOCATED"
"400075038"	"ZMOG_EQUI_APIN"	"INST"	""	"CONNX"	"NPT/1/4""/BOTTOM LOCATED"
"400075050"	"ZMOG_EQUI_ALIG"	"INST"	""	"PS"	"240 VAC (MRK. TECHNOR)"
"400075050"	"ZMOG_EQUI_ALIG"	"INST"	""	"ORDN"	"GSC 1513-084"
"400075053"	"ZMOG_EQUI_AEXC"	"INST"	""	"MWF"	"6 KG CONTAINER VOLUME 8.04 L"
"400080094"	"ZMOG_EQUI_ASDT"	"INST"	""	"DIM"	"112 X 136MM"
"400080094"	"ZMOG_EQUI_ASDT"	"INST"	""	"BODM"	"PLASTIC"
"400080114"	"ZMOG_EQUI_ALOU"	"INST"	""	"CERT"	"NEMKO NO. OIATEX 235"
"400080117"	"ZMOG_EQUI_AZSE"	"INST"	""	"ENCPK"	"IP67"
"400080092"	"ZMOG_EQUI_ALXE"	"INST"	""	"ORDN"	"DUC 6517"
"400080129"	"ZMOG_EQUI_AEX5"	"INST"	""	"TEPR"	"25 BAR"
"400080153"	"ZMOG_EQUI_ALOU"	"INST"	""	"SOPP"	"117 DB"
