"FL_CODE"	"FL_STATUS"	"FL_USER_STATUS"	"EQ_CODE"	"EQ_STATUS"	"EQ_USER_STATUS"
"HBDA-HTJB-1871-0002-L2-3"	"CRTE"	"APPR"	"400200795"	"CRTE"	""
"GOFC-HCV-50539A-D"	"CRTE"	"APPR NOPM"	"400160241"	"INST"	""
"GOFC-FO-50325"	"CRTE"	"APPR"	"400125434"	"INST"	""
"GOFC-HCV-34102"	"CRTE"	"APPR NOPM"	"400186513"	"INST"	""
"DB-HCV-54623"	"CRTE"	"APPR NOPM"	""	""	""
"WEA-PDT-93006"	"DLFL"	"APPR"	""	""	""
"DB-PI-54618"	"CRTE"	"APPR NOPM"	""	""	""
"DB-FID-64018"	"CRTE"	"APPR NOPM"	""	""	""
"DB-HCV-54620"	"CRTE"	"APPR NOPM"	""	""	""
"DB-LIT-50016"	"CRTE"	"APPR"	"400453945"	"INST"	""
"HBDA-HTJB-1870-0061-L3-1"	"CRTE"	"APPR"	"400200886"	"INST"	""
"GOFB-PDI-50086"	"CRTE"	"APPR NOPM"	"400184086"	"INST"	""
"DB-LIT-39013"	"CRTE"	"APPR"	"400449985"	"INST"	""
"DB-X-5464"	"CRTE"	"APPR"	"400468731"	"INST"	""
"GOFC-HCV-50217-D"	"CRTE"	"APPR NOPM"	"400104745"	"INST"	""
"GOFC-HCV-50218-D"	"CRTE"	"APPR NOPM"	"400022664"	"INST"	""
"GOFB-PIT-50100"	"CRTE"	"APPR"	"400077289"	"INST"	""
"DB-HCV-39015"	"CRTE"	"RSEV"	""	""	""
"DB-PI-54625"	"CRTE"	"APPR NOPM"	""	""	""
"GOFC-HCV-50505-D"	"CRTE"	"APPR NOPM"	"400007700"	"INST"	""
"GOFB-PDT-50071"	"CRTE"	"APPR NOPM"	"400106860"	"INST"	""
"DB-X-5466"	"CRTE"	"APPR"	"400468732"	"INST"	""
"DB-CL-5467"	"CRTE"	"APPR"	"400462413"	"INST"	""
