"C_TYPE"	"C_OBJECT"	"C_DESCRIPTION"	"P_TYPE"	"P_OBJECT"	"P_DESCRIPTION"
"FLOC"	"DA 01"	"WATERINJ"	"FLOC"	"DK.DA.A.300"	"WELL SERVICES"
"FLOC"	"DA 03"	"OILPROD"	"FLOC"	"DK.DA.A.300"	"WELL SERVICES"
"FLOC"	"DA 04"	"WATERINJ"	"FLOC"	"DK.DA.A.300"	"WELL SERVICES"
"FLOC"	"DA 05"	"WATERINJ"	"FLOC"	"DK.DA.A.300"	"WELL SERVICES"
"FLOC"	"DA 06"	"OILPROD"	"FLOC"	"DK.DA.A.300"	"WELL SERVICES"
"FLOC"	"DA 07"	"WATERINJ"	"FLOC"	"DK.DA.A.300"	"WELL SERVICES"
"FLOC"	"DA-A-5425"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-A-5425"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-A-5426"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-A-5426"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-A-5427A"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-A-5427A"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-A-5427B"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-A-5427B"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-A-5427C"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-A-5427C"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-A-5427D"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-A-5427D"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
