"P_OBJECT_SYST"	"P_TYPE_SYST"	"P_OBJECT_LOCA"	"P_TYPE_LOCA"	"CODE"	"OBJ_DESC"	"TYPE"	"TYPE_DESC"	"OBJ_UNISOL"	"SYSTEM_STATUS"	"SYSTEM_STATUS_DESC"	"USER_STATUS"	"USER_STATUS_DESC"	"CLASS"	"CLASS_DESC"	"DENOMINATOR"	"DENOMINATOR_DESC"	"SPECIFIC_LOCATION"	"INSTALL_DATE"	"MODEL_NO"	"SERIAL_NUMBER"	"MANFACTURER"	"OBJ_OMS_ONLY"	"OBJ_OMS_UNISOL_VERIFIED"	"OBJ_UPDATE_REASON"	"UPDATE_DATE"	"UPDATED_BY"	"OBJ_CODE_DOC"	"OBJ_POSITION"	"UNI_CRITICALITY"	"UNI_CRITICALITY_DESC"	"PRIM_SECE_ID"	"SECE_ID_2"	"SECE_ID_3"	"SECE_ID_4"	"PRIM_SECE_ID_DESC"	"SECE_ID_2_DESC"	"SECE_ID_3_DESC"	"SECE_ID_4_DESC"
"DK.DF.F.057"	"SYST"	"DFFA"	"LOCA"	"DFFA-HCV-570168"	"HAND CONTROL VALVE"	"FLOC"	"Functional Location"	"DF /F /10/DFFA-HCV-570168"	"CRTE"	"Created"	"APPR"	"Approved"	"ZISO_FLOC_MV"	"MANUAL VALVES"	"TMP202A"	"PVI Bypass of DFF-V-3401"	"FUEL GAS SYSTEM"		""	""	""	"N"	"Y"	"MEL-DFY-67"	03-OCT-17	"MEL_SCHEMA5"	"DK.DF.F.057.DFFA-HCV-570168"	"400474229"	"S"	"Secondary"	""	""	""	""	""	""	""	""
"DK.TS.A.030"	"SYST"	"TSAA"	"LOCA"	"TSA-PI-30701"	"PRESSURE INDICATOR"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR NOPM"	""	"ZMOG_FLOC_PPI"	"PRESSURE INDICATOR"	""	""	""		""	""	""	"N"	"N"	""		""	"DK.TS.A.030.TSA-PI-30701"	""	""	""	""	""	""	""	""	""	""	""
"DK.TS.A.030"	"SYST"	"TSAA"	"LOCA"	"TSA-ZSC-30210"	"POSITION SWITCH VLOSE FOR CVA-30210"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PZS"	"POSITION SWITCH"	"TSEDEV"	"TYRA SOUTH EAST DEVELOPMENT"	"UTILITY DECK"		""	""	""	"N"	"N"	""		""	"DK.TS.A.030.TSA-ZSC-30210"	"400143348"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC3"	"LOCA"	"GC-JBF-03254"	"JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"HALON7"	"GORM E GENERATORS AND ROOMS"	"MODULE 3L, INSIDE CO2 SKID A-0306"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-03254"	"400123877"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC9"	"LOCA"	"GC-JB-9-84"	"COMMUNICATION  J.B."	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPAS"	"PUBLIC ADDRESS SYSTEM"	"RPAGOC"	"REDESIGN OF PA LOUDSPEAKERS GORM COMPLEX"	"MOD. 9, CELLAR DECK - UNDERS	G OM DEN FINDES ?"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-9-84"	""	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOCY"	"LOCA"	"GC-JB-751174"	"JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PEJB"	"JUNCTION BOX - ELECTRICAL"	"3411FR"	"GORM F FLARE REDUCTION OF GOFB-V-3411"	"GOC. MOD 2 UPPER. AT H2S ANALYSER"		""	""	""	"N"	"N"	"WO-GOC-20005615"	15-AUG-13	"MEL_SCHEMA5"	"DK.GO.C.075.GC-JB-751174"	"400330963"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JBF-05489"	"JB FOR LIMIT SWITCHES ON CO2 SKID"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"HALON2"	"REPL. OF HALON WITH CO2 FLOODING SYSTEMS"	"CO2 SKID A-0570"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-05489"	"400057538"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JBF-05996"	"FIRE & GAS JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GOSDPH"	"GORM NEW TURBINE SHUTDOWN PHILOSOPHY."	"MODULE 5 UPPER"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-05996"	"400184549"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC3"	"LOCA"	"GC-JBF-03253"	"JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"HALON7"	"GORM E GENERATORS AND ROOMS"	"MODULE 3L, INSIDE CO2 SKID A-0305"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-03253"	"400074332"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC3"	"LOCA"	"GC-JB-0603"	"AWOS JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PMEQ"	"MEASURING EQUIPMENT"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"GORM C MODUL 3 UPPER SERVICE VOID"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-0603"	"400101722"	""	""	""	""	""	""	""	""	""	""
