domainSource;rangSource;label;domain;range;author;status;source
ILAP;ISO19008_COR;Electrical power transmission;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BAA;http://souslesens.org/iso19008/cor/SFA;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_COR;Electrical/instrument installation;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BDD;http://souslesens.org/iso19008/cor/SFB;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_COR;Fireproofing;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BALA;http://souslesens.org/iso19008/cor/SFE;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_COR;Insulation;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_BCG;http://souslesens.org/iso19008/cor/BCG;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_COR;Insulation;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_BCG;http://souslesens.org/iso19008/cor/BHD;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_COR;Insulation;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_BCG;http://souslesens.org/iso19008/cor/BLD;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_COR;Insulation;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_BCG;http://souslesens.org/iso19008/cor/SFD;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_COR;Painting & application;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BNB;http://souslesens.org/iso19008/cor/SFF;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_COR;Piping erection;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BBDAA;http://souslesens.org/iso19008/cor/SFC;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_COR;Scaffolding;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_MC;http://souslesens.org/iso19008/cor/SFG;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_COR;Scaffolding;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/COR_MC;http://souslesens.org/iso19008/cor/MC;JCL;candidate;Standardizer_fuzzyMatch
ILAP;ISO19008_PBS;Above ground storage;http://data.posccaesar.org/ilap/refdata/NORSOK/Z-014/SCCSCoding/PBS_BBAAA;http://souslesens.org/iso19008/pbs/BACAAA;JCL;candidate;Standardizer_fuzzyMatch
